it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	tot_length
0	-11048.791143651804	-138.1313934313854	-10910.659750220419	264.7987106786711	0.0	1.1	1.1	0.26056302427203737	0.2609632183971264	0.18988559862698465	0.12521965306183255	0.39272761862227684	0.6018286130987797	0.18125831842010717	0.5829890672121991	0.135970144953296	0.3041653100708975	0.23034313727027744	0.35635139934054083	0.9000274770265136	0.21061118821347402	0.4553713810364638	0.19196428747613997	0.14625230864510602	0.2813820646960565	0.13142782065910005	0.09441365919752548	0.2527964196287293	0.4983451929826609	0.17058734284532956	0.8695230232463633	0.13843363196807673	0.11405471507251219	0.36561323852450534	0.38512267220588303	14820.843258698424
100000	-1103.0705459520682	-59.532131957628586	-1043.5384139944397	264.7987106786711	0.0	18.558273271151663	18.923381253635615	0.06182100847961493	0.0023868880435261508	0.011848628193656504	0.03601626103377678	0.05492580300015899	0.03044141997525455	0.04487432431776305	0.041374191084480635	0.018210037310715233	0.005210667556928971	0.0016916405633438196	0.0028432949130119457	0.003828937480221826	0.0005149521965663788	0.012918006160445143	0.002404809291875305	0.022042836530104033	0.03670129282092171	0.0004795483030897076	0.001950334410915378	0.0009357512074726758	0.0030095899621255325	0.003421534012106488	0.007448960538128311	0.011088941861403063	0.0006157377410723675	0.0016643108652447671	0.002026090943394482	14820.843258698424
200000	-1102.293580576434	-59.58224843538893	-1042.711332141045	264.7987106786711	0.0	18.047642683613013	19.32323390740118	0.04849162937318336	0.024094860856814865	0.016542304733253167	0.09886963127326244	0.04201043229010082	0.030904020324094533	0.02666778867972104	0.029115751323324023	0.01735768484257953	0.0015490073344298356	0.002014819929247722	0.0010969701625834528	0.002748634008265681	0.0016829018760204282	0.00429277192380686	0.002055720988158435	0.024013512602322352	0.0014964737090374836	0.006408489128430762	0.0006278911115824317	0.008904704656083489	0.0026113168562767707	0.005702994585822222	0.004007749830804335	0.008727855887355552	0.0013362229515820443	0.0008011828793057882	0.0001538875751472442	14820.843258698424
300000	-1105.0570394830804	-65.84588800663788	-1039.2111514764426	264.7987106786711	0.0	12.37848757634947	19.17986599885316	0.11451467791972919	0.005482503710636468	0.0024514992835189104	0.02873494574863847	0.09121091615208496	0.027207164046195206	0.0278918748377463	0.04953444263147884	0.01369210216291547	0.0010920694228771326	0.0012342750143087614	0.0007978019447716286	0.0035999965289357514	0.0012337465145513538	0.10499375713731712	0.004916258024724632	0.010487821220879047	7.044584380088213e-05	0.0075350956891592135	0.0019646907807591976	0.010050962967969123	0.0027031912004619085	0.0047285870854756286	0.007020659187986718	0.007232451676169872	0.0008853499851418255	0.0012910627119108395	0.0001676223159506853	14820.843258698424
400000	-1107.0779190211424	-64.89363220367386	-1042.1842868174685	264.7987106786711	0.0	19.191472356963178	19.2815864704321	0.11578230374501129	0.062472991208492895	0.07222074708874446	0.041995553449078106	0.060223501185037026	0.03060963241805164	0.026003476281932007	0.03416493546661207	0.015576149908233368	0.00198211599446508	0.001256301984084123	0.000666978068997135	0.0030939886711174457	0.00014035146668169992	0.07684562841687835	0.09121895459374352	0.07904526007705977	0.020359703603796228	0.01468334277371564	0.0006900202636899442	0.001381367975847821	0.004165409870573559	0.0025067930722202634	0.005319768641287161	0.011020748510628122	0.000675788768876075	0.0024712562163189196	0.000824999764204752	14820.843258698424
500000	-1102.1423620489802	-64.23530455129799	-1037.9070574976822	264.7987106786711	0.0	14.247515142729052	19.474421185625506	0.1013746080287062	0.0329003178837848	0.017665141395955774	0.0780202821479297	0.09403613138649856	0.021470120420685253	0.025132506730031555	0.04738011873520882	0.01811652854597365	0.0013731917057910239	0.0010486982381332076	0.0011363726772249257	0.0030266167874406506	0.00029581125378679344	0.0194621821313481	0.005902549227376916	0.0015665396532053	0.06782900126491516	0.00483336155514665	0.0003478633217140601	0.001244602045541733	0.0046052367185985075	0.0026503909077007803	0.007792677990984504	0.006820310735024071	0.00025447013566992844	0.0008262778084925237	0.0007880873544707614	14820.843258698424
600000	-1101.5190785140683	-60.72329778650532	-1040.795780727563	264.7987106786711	0.0	18.681699787755264	19.24667907183039	0.05677637925141007	0.0021039025130776294	0.01782716333728062	0.04551485589057628	0.07026866283429516	0.02397380994668998	0.029679898840333886	0.0408338501534913	0.018881563633721257	0.0033552393748176217	0.003016796681799904	0.00103846174439452	0.00600283791902202	0.001251137663178755	0.10212558331201357	0.03574340832642366	0.011399841780175791	0.0013746672681248337	0.0033957928434553493	0.0008171583215605649	0.004296352168855266	0.0023336729983281994	0.004582639732300895	0.006680123681713168	0.014288495538372003	0.00011438608144024662	0.0010981967546982744	0.002371372363206089	14820.843258698424
700000	-1105.434020429536	-64.76538936827791	-1040.668631061258	264.7987106786711	0.0	18.221006698643478	15.774556306982904	0.0760694368258152	0.0037936197374201968	0.008906340328434325	0.09631922736347318	0.04214783317713644	0.037310816337809645	0.03522829341007355	0.041699157694963046	0.014739646445771044	0.0024343309627769213	0.0007560271409303781	0.002674326808110117	0.0024548880352453202	0.000734038028920659	0.012046806431786992	0.09702434620136247	0.08192072128308925	0.015433938381985732	0.0003932580637781351	0.001415937119250725	0.0054110687271562	0.005245028080473161	0.0034245456912292732	0.005870873543369324	0.011202334732299646	0.0009964682067022674	0.0008216782619347523	0.002186336333610394	14820.843258698424
800000	-1102.881179878673	-62.84046924757782	-1040.0407106310952	264.7987106786711	0.0	19.03964894075593	18.6889141666483	0.09322750860834027	0.03403872586302092	0.01995472835220145	0.05220332747831782	0.16526860550933475	0.03156343263722193	0.035334863371302976	0.04390779092939549	0.013243638813049378	0.0011329905058810204	0.0013886821894957158	0.00015734203894156754	0.005920861463875874	0.0008553729731829478	0.03209150304219787	0.012546524230320181	0.021480605828756386	0.0021226466403894005	0.0018965935159444632	0.0011112979270829055	0.003151467197600137	0.0044100998536863376	0.001643382656336446	0.00607335457195483	0.008133192687566806	0.000416540142027331	0.0007948521023249575	0.00035318294045838115	14820.843258698424
900000	-1103.7696231758794	-62.26213464814068	-1041.5074885277386	264.7987106786711	0.0	19.218700681071688	19.827008831784745	0.05454940244161101	0.0465279442616635	0.005241559347863277	0.11059561312430774	0.08385094992203442	0.020590631741217	0.03174461200032704	0.04357349647926001	0.015562582648469526	0.0010406772873227297	0.0008137109197176827	0.0012481938110631412	0.004273425123633038	0.0001768848657433443	0.07665487207378138	0.01003545351911203	0.06883958600801215	0.021886675898270955	0.0016370250419444129	0.0023702507627682153	0.006377494361704607	0.0006454116233343102	0.0022182190369012377	0.005472865809327653	0.010036777022531385	0.0023259613815394243	0.0010152994633917758	0.0012703638024798556	14820.843258698424
