it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	tot_length
0	-9545.480407551862	-138.26514984977968	-9407.215257702082	264.6867986666625	0.0	1.1	1.1	0.12935576215161393	0.1417877816118312	0.700529249167783	0.255120925464587	0.28973457379809864	0.7095752182022771	0.5534113848174134	0.373550471113019	0.4953523844327309	0.17021318688537995	0.4071783289538836	0.4654732790077345	0.12119242351617988	0.16644114391797338	0.356038965659523	0.3721302394396523	0.20470935689546277	0.10157916988140808	0.28586853314240135	0.47578676854056934	0.13011171890044276	0.21363104946463915	0.2574984614447338	0.1668452370436493	0.1945172828729221	0.48703162797325483	0.1343670110557861	0.6156788198059329	14729.49887000549
100000	-1092.052375367573	-62.596942093948705	-1029.4554332736243	264.6867986666625	0.0	19.962304267874664	19.673466350060302	0.14352561600268413	0.018306325275633507	0.0403863705215201	0.13555346599905835	0.06555658245839492	0.01553539365526867	0.033059747471988775	0.03796090581349543	0.019933399853837772	0.0009204656189913776	0.001634500211793035	0.0030395253060141766	0.005603366860278126	0.001387804722118108	0.002365360114216601	0.017153573268103354	0.07299824508677007	0.008010412533486815	0.0016025079855504847	0.0010177013922664513	0.004573139936862872	0.001874705086719818	0.004228946561994006	0.008690502507915502	0.008028539572752937	0.0022858369776370224	0.0010601467740310785	0.0002945549590226527	14729.49887000549
200000	-1099.6474082405844	-61.72579772133421	-1037.9216105192502	264.6867986666625	0.0	16.719764781224992	19.64285612468588	0.03907018448345727	0.017244181045245985	0.0548742079007175	0.05158567560559949	0.04776316805027533	0.030331636200076742	0.030488791212246832	0.04148820298717741	0.01757451634133711	0.002108048715736342	0.004304074151714545	0.0006404755441996473	0.005117944855015792	0.0028810578733473226	0.004994737141186486	0.012462536256528876	0.046658567152591646	0.07174315268040507	0.001259557915824735	0.0001426358166303942	0.009550579672989628	0.002411787133456012	0.0019554098828552064	0.007534808347335438	0.006917144981290961	0.0003056330813497452	0.00010624280666762642	0.0013750000691196286	14729.49887000549
300000	-1090.6641282776156	-64.30050129470779	-1026.3636269829078	264.6867986666625	0.0	19.68174468139058	17.594765355100684	0.12512376598786415	0.042055699636889474	0.00981090977342734	0.14347002659476402	0.062052540124108685	0.01826816413155832	0.03917419311861436	0.04867530761262731	0.013743997694950535	0.0001827896549036875	0.0023131496504801927	0.0007473159062095978	0.002724577637914039	0.0010997033289485184	0.022448176547610294	0.06316517055309485	0.02047768530068315	0.002762491422082486	0.004959648230732256	0.0035306838064716375	0.010691831504164051	0.004087558230998443	0.0020259499484000503	0.011388661608191275	0.00694078483269454	0.00036364385906956047	0.0005425489425550603	0.0008891413465176305	14729.49887000549
400000	-1091.5318627779973	-60.903107202633926	-1030.6287555753634	264.6867986666625	0.0	18.48844432382925	17.02954332792079	0.02469656776451168	0.003464527376613117	0.009272237718324047	0.08262916321450525	0.029689300901491446	0.022231059487673014	0.03301317367616984	0.044282207296046115	0.02059134877752224	0.0009315550363841324	0.001658613829798721	0.0003230886625901513	0.0027336874035280402	0.0015192136533900473	0.013309219147945158	0.035423326352564975	0.04558206193238082	0.011825901849960668	0.008873087363331136	0.0015614865413615096	0.004714298122241116	0.00237777620765745	0.0035845652379029123	0.0072722926181741235	0.005027596424958177	0.0003197921439957967	0.0016375289306261472	0.002277273922436484	14729.49887000549
500000	-1096.5354590450008	-65.54785008053297	-1030.9876089644679	264.6867986666625	0.0	19.369768598457448	19.766936366760532	0.23220928705953184	0.007788668872979264	0.020664470289188275	0.19430537564990077	0.05252390173256441	0.014840533060968488	0.02641650909650401	0.048524137728283755	0.017337759696689027	0.0008757464143516173	0.001507229551115337	0.0010836662631159891	0.002399650155398153	0.0019691258120745248	0.07117449258558459	0.01132671353421888	0.05195942189190484	0.015495574001387217	0.0018861511364717256	0.005343246264979368	0.01123697978635344	0.006761921474742256	0.0032952040785774158	0.007073307123377944	0.009050941645117471	0.0010471081477610624	0.0012965208458037077	0.00019483566716944626	14729.49887000549
600000	-1092.2249384194797	-63.60975415233707	-1028.6151842671427	264.6867986666625	0.0	19.925617487428916	19.70521949661183	0.18746398607104184	0.018356069243330466	0.00021577787936982062	0.11053890950077094	0.05114864856982599	0.021927378034775735	0.027586628901125603	0.03906968220220624	0.017206055342407843	0.0007145858196540943	0.0014203787500984995	0.0009862508131429444	0.0061793898825703	0.0010278441279170138	0.00155925488979008	0.07678503440369891	0.05185950244496048	0.039947925213933866	0.001465853640407522	0.0019284268866370214	0.010954916430296197	0.002884253913439422	0.005694144341876245	0.0114833202090106	0.0063177661082147105	0.0013242679829167942	0.0010693673516730222	0.000717393371326224	14729.49887000549
700000	-1098.4178405614582	-63.670774181369644	-1034.7470663800887	264.6867986666625	0.0	19.167841893676773	19.943729954733456	0.021660653595342513	0.00847654332729819	0.059984252133743	0.16319623200017222	0.05968425694955655	0.015434476988595864	0.04602490688509829	0.04268041603143526	0.01560163297315751	0.0013325940181451858	0.0017411014782908836	0.0005819281214113811	0.0034250868932619617	0.002100289869722329	0.11266740451092709	0.07113772544348505	0.008667167255931738	0.04155937747409143	0.00015868105530755685	0.003070592427889413	0.005515092886816151	0.002244178565054747	0.008600304981224249	0.008479607033177556	0.010295615606724281	0.002371271878080947	0.0007616731848746951	0.0010540852913422632	14729.49887000549
800000	-1092.981966278418	-64.11346443913385	-1028.8685018392841	264.6867986666625	0.0	16.48330433093898	18.53882560023394	0.1137122197603571	0.09207490657024503	0.04712288216323787	0.10057136552906656	0.036548046692784976	0.03078623782646218	0.03617752863526271	0.053020505054483746	0.013703155344706362	0.0006971857952356559	0.0003817542320714047	0.0007218838711042795	0.005486088085072528	0.0005179631738383374	0.00037930055032210636	0.019405036671314182	0.010806267525459583	0.01171024481618739	0.0006375201861239119	0.0069160265703087165	0.0022680555156986085	0.003231931409284865	0.0033584208154179783	0.010040254654982105	0.005263217194128242	0.0009966637023264293	0.0007813122724679394	0.001377578490535307	14729.49887000549
900000	-1098.431294577031	-63.94784293298594	-1034.483451644045	264.6867986666625	0.0	19.514588993787132	16.353060160146644	0.0979176382611455	0.02496580083420032	0.047560623995030735	0.1316213685803342	0.04912701184196556	0.019572537202507834	0.038006832057823806	0.034249083669369206	0.013966791989946853	0.000539912525680968	0.0022607671270861254	0.0011718674115648734	0.0012614944151186401	0.004317449632611728	0.06233009246600959	0.02553176643182867	0.005378972014385486	0.017043881119005663	0.010962918627330969	0.0020906630711249223	0.007066116689860245	0.004607316719157324	0.0024385714935206753	0.012341446404445584	0.0065401892696321275	0.0017358576605583963	0.0011336559105132277	0.0017596266606902393	14729.49887000549
