it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	tot_length
0	-7287.469248593086	-136.9909089604821	-7150.478339632605	264.48747976328167	0.0	1.1	1.1	0.17602760984649854	0.30354718651192975	0.23384382347707316	0.43712072982663636	0.12023147354410597	0.3026528484742319	0.5356897965753099	0.1783667202326721	0.2761838816575299	0.10700266897938206	0.0997242907793205	0.17864660180124425	0.13743622150860968	0.3591239564207618	0.4774951756555095	0.5340502242332981	0.20980043095551493	0.18709184164233136	0.10562291720423551	0.29140293097271963	0.2390533756941283	0.2373709207759798	0.6612587456199127	0.12428154575863182	0.11615974484652136	0.2761959676192878	0.16933230608552013	0.15159970226082814	14790.376329323706
100000	-1101.8266217610394	-59.87745131619672	-1041.9491704448426	264.48747976328167	0.0	19.938558811155	18.227137442631573	0.04308754809859462	0.047751817609060776	0.03279052698370129	0.06415990848150337	0.04946261249468057	0.015943089152557	0.029053009127603266	0.031319205304858384	0.013442261987568649	0.0034780671482576454	0.001277114962769874	0.0027462670188425583	0.0019624935933540556	0.001563660444226927	0.012401900733587283	0.015132089505191276	0.016774421626268188	2.7679283533369604e-05	0.0018577259021236483	0.005605610073821547	0.0020184509452350315	0.0015053221238071793	0.003837573018385368	0.014496541650618354	0.0057049349682343495	0.0004826730721319587	0.0001950681826728486	0.0016504875768909558	14790.376329323706
200000	-1107.777765116831	-63.53591455645178	-1044.2418505603791	264.48747976328167	0.0	17.18582959682719	17.50146821053434	0.01630909337496634	0.044024129231066814	0.10080109325478281	0.10635797734206988	0.0891533227254985	0.014116933357836694	0.030080442328732398	0.03215603493786159	0.018202426604126822	0.0011925602801271446	0.001999840562810297	0.001090343984139364	0.0024078993312252922	0.0018618513682851173	0.021598444876674727	0.0029332645829432714	0.04360159296055004	0.007575644360528048	0.0033828203220363307	0.009500353038392433	0.004798802152790038	0.004089391702636595	0.005313800298392725	0.008546137729663148	0.005119110599690896	0.002367513200881985	0.00036670608245767134	0.0012616909728974345	14790.376329323706
300000	-1099.333810245091	-61.45761780024183	-1037.876192444849	264.48747976328167	0.0	19.360051420452894	17.56630786329319	0.051739969034992665	0.0018609665926565726	0.08012143815224824	0.060443169406183876	0.04389981051431073	0.021048054512135754	0.02501744547931238	0.04842508275611118	0.0191206313543077	0.0025702480751639196	0.0026728569295723236	0.0001662296688514658	0.00223659357379017	0.000643925961716529	0.006448173288725703	0.020672494016814723	0.009157665176922307	0.033100257109294595	0.0019130806096400333	0.00011478686352245834	0.006028768034952559	0.003102705260667789	0.005049511557440614	0.008693128517131164	0.005592164389098748	0.001126582283190268	0.0003062968190334037	0.0007101753069726567	14790.376329323706
400000	-1111.8884050449337	-63.162528919535454	-1048.7258761253984	264.48747976328167	0.0	19.876859874229115	19.927589042507403	0.116435094485556	0.009502286879988275	0.04758975154016287	0.07623388501866514	0.040459575146178525	0.02341825574836676	0.045059387230537554	0.04396742991583354	0.013700472311462264	0.0018395089371641665	0.0012006217587988987	0.0026640578690046443	0.005316611168459664	0.001925740222750935	0.11398784704531142	0.03971229839158057	0.06385660235999982	0.027245384521157143	0.0053084572016412835	0.016220492443171374	0.0034389312924580054	0.0037423670728093782	0.005972347109148233	0.011956500313017641	0.010378368882493017	0.0003614740993396421	0.0004603848349488186	0.001257807489304295	14790.376329323706
500000	-1100.818567028914	-63.16242788103518	-1037.6561391478788	264.48747976328167	0.0	15.18231812302314	17.731242509224753	0.13036157323379463	0.027438376301839654	0.006011701636366937	0.04779051399520037	0.05021722397431179	0.024728172869780695	0.038168669686208544	0.04554110204603788	0.019543002808165545	0.0013370980634638755	0.00035271811093260476	0.0019389047743049875	0.0024370655624873644	0.002966034132230563	0.01418799222823801	0.012342665160813737	0.007248328841765305	0.008135390327313358	0.0023326835985866155	0.0027896574498789397	0.004254642699938937	0.002915987799822351	0.003993901331972051	0.014284122052649931	0.005794022827955616	0.0010911722174155516	0.0008742753070089016	0.001226858219175276	14790.376329323706
600000	-1103.8461847499668	-64.40966228792362	-1039.4365224620433	264.48747976328167	0.0	16.19392965305661	18.153148134825123	0.1880741228275327	0.03669804024741025	0.03368983681361642	0.0779930453146636	0.054518904339411506	0.02814295983676722	0.03644497575621391	0.038991556265463065	0.01378972118340589	0.0008765739827364683	0.0033527120691866034	0.002528520775494823	0.0023455964272730365	0.0019684240018861534	0.010501989127025066	0.03691164035849262	0.006181438550415617	0.028032377358175722	0.010190520832840727	0.0013719384283974192	0.002039473915715323	0.0032554063209938476	0.003319264308086608	0.00943393537156854	0.005291207201738929	0.001817717647384793	0.00021870866704963774	0.0016264196271129343	14790.376329323706
700000	-1097.093330362872	-59.528447909209156	-1037.5648824536627	264.48747976328167	0.0	19.485363933218526	19.810073635674897	0.15551129115299112	0.012802910892420777	0.008842137175053055	0.03581092132854481	0.035037427989277836	0.01689217925558629	0.03483698819117375	0.04290919724379975	0.020695223137937112	0.0029489078690879736	0.0015460733525542196	0.00037190376124440663	0.0029829494977975613	0.001639431207781778	0.0122708946997646	0.0037433081623388653	0.031776069294997066	0.020739237110574845	0.007514540694003983	0.003921867593510968	0.003991203679691526	0.0031718403339657296	0.004630834427776126	0.007709402380407705	0.006043504729925927	0.001699778615352531	0.0001517495026363704	0.0016804807377755297	14790.376329323706
800000	-1106.448880266437	-61.76135845370383	-1044.6875218127332	264.48747976328167	0.0	17.613616553621988	18.236280754550112	0.0674377539230198	0.02119305381250455	0.011611534576549346	0.02127328066269298	0.06456152012925652	0.016118916454811037	0.03641137515011876	0.03001073399990922	0.01729174415145559	0.002009047139857394	0.0019901043969595016	0.0010149720412855577	0.0009938305111526515	0.0026325279953947384	0.08609871619134872	0.0015994491062713034	0.04431498894402663	0.03689514931200814	0.006865956845435081	0.001723972671959162	0.007562273882491447	0.0014930447637574286	0.003241265697096323	0.009328876071915316	0.005093268441740287	0.00191657600845015	0.0005828758969299336	0.0012144368410083996	14790.376329323706
900000	-1094.7387863999113	-61.861055832794854	-1032.8777305671165	264.48747976328167	0.0	18.16248293512659	17.90894783151602	0.06725388022762295	0.03577159913102605	0.007937072247840394	0.05050161003951265	0.06383464954663855	0.025042614487514197	0.03310881440450536	0.041565720959477234	0.014815782739594873	0.0010658675932362657	0.001788642375289794	0.0007353155746496875	0.002310298528655378	0.001662688426292101	0.046535904060496444	0.006589357737876924	0.019024523493733854	0.028320454900452756	0.0006950333712269966	0.00045792573400487465	0.004559822157385407	0.003535517064544566	0.005616947107171851	0.009490312855208176	0.0051767489965200315	0.00013953912003578065	0.00034377207482645303	0.0005059843145011583	14790.376329323706
