it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	tot_length
0	-9886.326945781962	-137.22014572094525	-9749.106800061018	264.642369308778	0.0	1.1	1.1	0.14528151289004892	0.15441847552548918	0.12374342072755944	0.4325183776543943	0.15160569461350795	0.2988572415726839	0.29443403818472913	0.18897327311174272	0.48762155986475675	0.24512049326128932	0.15763020634991537	0.46956298399834817	0.42171709784559586	0.45042210130956006	0.4425957763823928	0.10288231721663312	0.17329777467644852	0.13932691721706808	0.19664395818039737	0.47262259654744443	0.14348804513018226	0.3313304454279367	0.488797024397179	0.17514049515865096	0.24608593675119195	0.27276718039720116	0.13517345358281133	0.4009323179763607	14906.05402037226
100000	-1089.3061668319172	-61.53952586550096	-1027.7666409664162	264.642369308778	0.0	19.825733580031983	19.0302351553112	0.10307650446145489	0.026087196987564447	0.0037569525833672014	0.06067545106051778	0.08111254825840954	0.021572998786307675	0.03894133370431875	0.03620473576955326	0.013015009325272492	0.0008741811302459626	0.0013498330801670908	0.00019418194438598107	0.004025761906181222	0.001778291060877688	0.034750338078766596	0.02465007943122031	0.06070320707438046	0.005113108700337055	0.0005844322006017743	0.0008923219870941517	0.009657861119371428	0.003432534167090499	0.0049223852093013155	0.008262473597299041	0.007027811817005096	0.0007077579679218177	0.0002343944942671917	0.0006815540671081392	14906.05402037226
200000	-1097.0889105311871	-62.16009448627074	-1034.9288160449164	264.642369308778	0.0	19.79974632234335	18.445999023316666	0.08388413766426608	0.030113318568834417	0.029058264155711434	0.029904988644124924	0.11113776823623123	0.02141874233435895	0.027207747632923936	0.03888588780122959	0.015989197321702262	0.00036248007924528214	0.00022616921197561157	0.0012667385586298226	0.005938329121575838	0.0019006432625292009	0.11124213676088272	0.0023739648626188493	0.01194820823420891	0.012137018566419043	0.007673877925384535	0.0009332637345724735	0.01024931965720872	0.0026036477245482813	0.005394841784157053	0.008837378835549487	0.012748163987278583	0.0010963665423136982	0.0002661275364744722	0.001460818233481704	14906.05402037226
300000	-1096.850101681679	-64.0038168535076	-1032.8462848281713	264.642369308778	0.0	18.256608965257712	15.556204093502588	0.1185204366574638	0.017383225671462114	0.03261058285862286	0.04138173715626063	0.044709877778973436	0.02262629573668571	0.03805440374661402	0.04687726861302816	0.016698328404044328	0.0006695058362024484	0.0015385400698375397	0.0006980835090288391	0.005535256009825433	0.002463040224419509	0.01634533914364913	0.010885396490550363	0.05075907152214125	0.046498093165980844	0.007196441377800243	0.001657301299272857	0.0061798067450535695	0.0034091553191449675	0.005730251727556604	0.007280902878468844	0.00844100863664963	0.0006782323268881023	0.000702552392000455	0.0006153734983611952	14906.05402037226
400000	-1095.184662938718	-60.802730349809735	-1034.3819325889083	264.642369308778	0.0	19.180616670812828	17.65671354861868	0.08766658482766014	0.00558221484845043	0.026841585961983938	0.011781108432203825	0.05548350248804425	0.024446488947274626	0.035731143502688925	0.046088723059958925	0.013986477574876408	0.0008827435611729674	0.0034510094225411463	0.0002769199432890412	0.004703854726470547	0.0006346208049709078	0.01888835353475893	0.006521141793789728	0.053978590250972576	0.004847495181246248	0.013538606727571945	0.008570876543021083	0.0019015449552067202	0.0008050155771208864	0.002743674134302272	0.010723529250827797	0.00692969917864118	0.0015951669811205178	8.708978974985803e-05	0.002011983066055089	14906.05402037226
500000	-1098.2938330353518	-65.24197150923803	-1033.0518615261137	264.642369308778	0.0	17.307227734813	18.519066431342146	0.24104016824383473	0.018186289796254126	0.05771487836993356	0.023858488137173176	0.04751185393306914	0.0369877752535801	0.046383513681150366	0.053002202004177636	0.014374191179097828	0.00026609141731937094	0.0018685437724210742	0.0007091770878987479	0.0025335198574402322	0.0005101137807696298	0.08436190686462136	0.0034787738237653403	0.014177756014196869	0.010354449507669446	0.001395801610561999	0.00023598114736187302	0.00602880687650394	0.0024066888037848956	0.0080535355155481	0.008401078477074159	0.010313561240773707	0.001521016626481694	0.0007521326431577952	0.0014168961531894472	14906.05402037226
600000	-1096.0832327188016	-62.461535639084715	-1033.6216970797168	264.642369308778	0.0	15.219873354215245	18.843039069074173	0.07800895514794984	0.0278852942337905	0.016499519834472554	0.039508304850374626	0.0567492037282524	0.02618778618319127	0.029244565946342827	0.04085005507572814	0.014284019088100936	0.0006335146414182021	0.002730518195735254	0.0019306696001287395	0.0035421609051502524	0.0005671386874722857	0.027386869348316648	0.022654832959549676	0.021748006091401966	0.03493642794503957	0.003322235136023049	0.0010266700575509943	0.010728974908008941	0.007679798839673002	0.00392156130634851	0.010531140879857008	0.007326026276880937	0.00040918610151975383	7.398211545921272e-05	0.002433746754949078	14906.05402037226
700000	-1097.740383056721	-63.15164392011195	-1034.588739136609	264.642369308778	0.0	19.283988807891678	19.569907097927754	0.0962217625126207	0.023355611834478797	0.036138708395548454	0.11547929548169579	0.07948170159180575	0.030868290557986563	0.039640268197442895	0.04350840037558353	0.018714656276936404	0.00042818642024751555	0.00019266054796538099	0.0003417675903125676	0.005707057305799978	0.003039031458708747	0.031162893977887043	0.06163965851012463	0.03796365961770235	0.020544844151003237	0.006067147786337088	0.0035975321567380367	0.005284753221745529	0.0014920571243996594	0.0038893565651798782	0.008113027413553327	0.007784949245879363	0.0010270328337909722	0.0005693714963979353	0.000620237419154724	14906.05402037226
800000	-1097.6759256987718	-60.797549460590545	-1036.8783762381813	264.642369308778	0.0	19.786264241950956	19.382960451836574	0.04633467673741562	0.026737099693733262	0.03075624181911152	0.04124912280780947	0.04495224323360726	0.04914224960361329	0.043009741218375724	0.04242143222863859	0.015013629141353181	0.0009323707413254834	0.001747511779084222	0.000334954430483518	0.000990281243357689	0.0009711026451959433	0.05407778054236096	0.043306373006677445	0.024915012775311312	0.03542977617699466	0.01073256221553469	0.0006393369749587584	0.012765076438685423	0.00408971631634049	0.0038808549881066165	0.007865177542676944	0.009118957522934235	0.0001317977592494552	0.00039671229680065254	0.0011931776651033456	14906.05402037226
900000	-1097.031549769154	-65.52777898861613	-1031.503770780538	264.642369308778	0.0	18.37445932398976	16.2038788600431	0.14902293211935747	0.025694409625429696	0.026629866682856114	0.04127892753473055	0.0671619365242437	0.043041984101477415	0.043671237140851506	0.04793730629973214	0.014332959286136654	0.000863455510869405	0.002241891943338577	0.0012899240780355732	0.006242653285410488	0.0004599771005078397	0.012681086364210432	0.029711389727193366	0.02320035729225624	0.0793508701753532	0.0026028027256634724	0.0001859719003040947	0.0037632267103892714	0.0014825859212151112	0.002636523293298129	0.011286869426075907	0.009370452468141879	0.00020003928981734623	0.00033700939240209653	0.0012315919265344386	14906.05402037226
