it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	tot_length
0	-9118.451493141858	-138.03196000489547	-8980.419533136963	264.45945732595095	0.0	1.1	1.1	0.32803929702081835	0.13950685803971116	0.11821702986870014	0.2736637846341657	0.20869423639672172	0.8998001303576271	0.23941129299318992	0.49919353849527004	0.21591314783523793	0.1991015328495862	0.27539681316509346	0.10816883463421492	0.4027232353315326	0.23049204531345924	0.18488499035409364	0.633266086681343	0.14520332929788154	0.38181927348993955	0.16670250278919552	0.3341272315145522	0.37221127796503756	0.5216109556688167	0.24729501323204367	0.1231059067777326	0.35493217359975765	0.3323521059077366	0.38941936188380555	0.32393222516978515	14808.387811323286
100000	-1103.0352108781672	-61.94047929160783	-1041.0947315865594	264.45945732595095	0.0	18.83210246571529	17.164979181564185	0.06459020872242152	0.02488939207944375	0.05336294073338099	0.07783221958581703	0.04953597791162756	0.025543392525857116	0.0514584381445571	0.033894582678697736	0.01669768465844137	0.0008604621107137034	0.002063559308744834	0.0017314407908676633	0.002984955386305275	0.0009793925919403571	0.024798020872551736	0.0013281499629331267	0.00016135624783869635	0.004128308635611825	0.004682450707061032	0.00530297120131341	0.006679735715512264	0.006833806309435912	0.0034684927171504862	0.0072297121214405105	0.009282803355189157	0.0008836071942529388	0.0015035075937461205	0.0025506666472429706	14808.387811323286
200000	-1107.2994995357797	-64.02076643507658	-1043.278733100703	264.45945732595095	0.0	19.407279920336407	19.536310352482893	0.03509907629416733	0.008207089894421735	0.0459815830222672	0.12624845777918173	0.08193109928840175	0.029189811936862972	0.04474075136612329	0.04405043617009574	0.016882827388070863	0.0007384001874585106	0.0018477220352325768	0.0014716880954270656	0.0040573916672560105	0.0009400513303394891	0.16767471734764003	0.05596041394405177	0.015067716039602868	0.006478974413154556	0.006252429013251567	0.006872077478043343	0.0015828374160672574	0.005356889586015189	0.001687049561019172	0.0068452397094449485	0.012259235085463772	0.000834217765243178	0.0006870698302471989	0.0012029100005515956	14808.387811323286
300000	-1103.0132911087446	-60.39789901249705	-1042.6153920962477	264.45945732595095	0.0	18.358821948475953	18.717504722908956	0.06622516866233859	0.014251541054518679	0.035985059797016376	0.017453858941579033	0.10081151257965991	0.015533209312190476	0.03763967793971653	0.03739829100699301	0.015916858774919045	0.0019179155613058031	0.0020642207481398746	0.0038997862459192933	0.004272888586774353	0.0016157344158334503	0.042885099168578876	0.007498495525292408	0.006507406891147765	0.01660467477163862	0.0010311848872771958	0.0011167423530551235	0.0020182551116220077	0.0023119534350500006	0.004337428953814339	0.013246608263858128	0.0057512102623394025	0.0010498972857667865	0.0007203433040112849	0.0011308306919804842	14808.387811323286
400000	-1104.9253794370486	-64.20939885682904	-1040.7159805802196	264.45945732595095	0.0	18.420339420646734	18.348528381894553	0.15533886152847376	0.024287493911918943	0.006005175111282519	0.10634334706887671	0.05103466508568649	0.021430365143273584	0.049515477596118844	0.040479688732531445	0.019028932641545256	0.0005651292023152041	0.004045492315647861	0.00044383278287074855	0.0032507541308414056	0.001499120896006061	0.023061455465197934	0.019568317752211135	0.0851974781543262	0.01931881042659952	0.006951174494730932	0.0015340380178457246	0.007363879209446602	0.0045362953437075035	0.004653866787409178	0.007807837942562017	0.007646238867034749	0.0014854090154549913	4.803730462285747e-05	0.0012783566378592633	14808.387811323286
500000	-1107.1860683113596	-64.22216227638289	-1042.9639060349766	264.45945732595095	0.0	17.611034791453243	18.08844778113703	0.14594004194098753	0.027408651872138385	0.010755947882957095	0.05641705393040389	0.11150970015279209	0.02531523398092208	0.05023772275334196	0.039849292148564745	0.016444033549959016	0.0020950309072457446	0.0019006135216350776	0.001524151662394188	0.0046630083763578	0.0010706471277342592	0.0073225835451529424	0.001619056373868795	0.05704127920408674	0.01496402604867589	0.03143133201689921	0.0005321578323941516	0.003988798703262546	0.004570066940613619	0.0018530930374122691	0.006525175625185902	0.007925137181413784	0.0009928195259077412	0.0002740334887377085	0.00047785130827351674	14808.387811323286
600000	-1108.868017402263	-67.1492674989669	-1041.718749903296	264.45945732595095	0.0	18.147674813786516	17.654719916742337	0.20144523840763306	0.00019649916141175602	0.014200875098686994	0.18895798436805153	0.05979616243627843	0.019977475075575988	0.03262949833495896	0.03641324113629591	0.01335958360763637	0.000997657457592653	0.002192996672252626	0.0005668200513353144	0.0012764957072244627	0.0031793734004142617	0.056539069754673106	0.007386984910368216	0.022260411095123694	0.07476756803208766	0.000616081157163206	0.0001911755936247791	0.008024001151126833	0.001897885497516893	0.004256021973710054	0.008235924575106232	0.005817949140077402	0.001429900486105388	0.0016239474481049257	0.0008202909905938261	14808.387811323286
700000	-1102.9844613168448	-65.47573019579585	-1037.5087311210489	264.45945732595095	0.0	19.988188044123838	13.66516250571552	0.1222214497221888	0.01826421988812942	0.005325099728164565	0.07459228156396741	0.07833676042178743	0.020405411397116695	0.05449978061031227	0.034407017209301116	0.0210019882089936	0.0012770901084891379	0.004745405556862866	0.0003924637233399005	0.0026618294695245665	0.0009885410627603734	0.014593868557949483	0.019525141357242093	0.010402105162385118	0.018979657165266395	0.0018741647118034784	0.0010997318205985228	0.004181210264912248	0.0025788382979449707	0.002799850891333892	0.00919143881689429	0.011680305363732674	0.0018628945456025585	0.0009229515783202851	0.0016247908568172431	14808.387811323286
800000	-1109.264033467992	-66.70726844926111	-1042.5567650187309	264.45945732595095	0.0	18.344476818439183	17.34885363011895	0.20346087837945442	0.05164482861975036	0.008362412101071083	0.0714795262537214	0.0545409443917757	0.02300706182973338	0.031327498432747694	0.03015024986444094	0.011903994034533344	0.00017147945681022793	0.00044183344145067293	0.00023829748831438418	0.0024636654711853185	0.0011370626206305325	0.1479105268226953	0.009054154613325373	0.03964120660483073	0.016236211870689566	0.013948812036764721	0.00046411383412953144	0.00446498947290089	0.002924130915624162	0.005190114149234416	0.006003019735376002	0.01035461530284356	0.0002411590846864699	0.0008876280369064289	0.0011021786885566927	14808.387811323286
900000	-1106.7280690754353	-61.67491417022575	-1045.0531549052096	264.45945732595095	0.0	18.518694624690585	19.31378172413686	0.0592142257585554	0.042918414148157974	0.022903660016211056	0.045019005692779585	0.0712364127291719	0.03184129655319357	0.03350012985133558	0.036616729563814586	0.012061060886524137	0.0012173513854639754	0.0014457487403842712	0.0003353202737328641	0.0035146870402449934	0.001623838008989858	0.006215521889021083	0.03727678469038496	0.08218543847484859	0.017599085276667068	0.02923202430656132	0.0010167783747118994	0.0056273741140048135	0.0033432501716783502	0.002423796100232258	0.011382268739387634	0.013045094543390675	0.0005771753686582609	0.0005754955600933108	0.0011794186005535266	14808.387811323286
