it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	tot_length
0	-9199.150230419016	-137.86448162187662	-9061.28574879714	264.5971853613011	0.0	1.1	1.1	0.17608100020040582	0.09117146958302896	0.35081649406445164	0.2691470037003199	0.12723909374403466	0.6823341170598697	0.34672395764315184	0.1821329893144746	0.2078210559558016	0.4459815275085936	0.11816040503706239	1.3623970629948716	0.26933698426532987	0.2120315222455074	0.20084568897462363	0.5792406240373147	0.24079384954266964	0.24663367765588312	0.1002107372100382	0.2587677418438708	0.16326249728948242	0.23610393322292608	0.26223354525128767	0.13039725259696835	0.14847735940468348	0.12706471402573688	0.11123447134181036	0.35224890171323175	14672.376383234692
100000	-1110.512885677206	-66.19424784015477	-1044.3186378370513	264.5971853613011	0.0	12.273253435839903	19.07286908102134	0.10589009891588973	0.038208944227526825	0.049631096637164404	0.012955470926726198	0.04836201480234123	0.024069952313143825	0.024976317939899264	0.041548368616043545	0.0153039478139837	0.0012041930344527923	0.0017428996669193032	0.0005451207283469838	0.00397876137708248	0.000928002542712473	0.051254066417302756	0.039869461643446104	0.07329874725695411	0.020250746335169257	0.010728438994170749	0.003724354755858465	0.007496289080578154	0.0016955197412853774	0.0016902846018545805	0.00763961154835426	0.010499072535754517	0.0005766696795620578	0.0017967012162914207	0.0020560489560253474	14672.376383234692
200000	-1103.062597791178	-65.45814536968402	-1037.604452421494	264.5971853613011	0.0	17.030166633942077	17.936687824406015	0.1246161864126663	0.011129707275842895	0.028416913843367256	0.14865389985621846	0.10472513462125432	0.041112095776376374	0.014926909379086726	0.03758721333811407	0.021745310702680234	0.002862301243251011	0.0020231064043866086	0.001181383128929805	0.002476917446452881	0.00044119537940137666	0.02187231268914939	0.07348572378241078	0.0017167180283472075	0.005667031546812476	0.0013680326250905452	0.0027512769957856193	0.0027097414177224893	0.0032750946126934763	0.004530877471533099	0.008689546520492435	0.006684135994027694	0.00048076683720306267	0.0004576992496408851	0.0014665471219411455	14672.376383234692
300000	-1106.1882927682825	-63.67693984070919	-1042.5113529275734	264.5971853613011	0.0	16.74584026423613	19.189125396022888	0.01816494954994744	0.07354457094622509	0.013359493877808857	0.07566034012812023	0.07876219301281616	0.027507445853464395	0.03761730905557332	0.038915545495428104	0.015088425611727185	0.003277431260534315	0.0027133249448333704	0.002414037311482361	0.004432839726341349	0.0006853943253160204	0.12065355613994341	0.04023944997644822	0.03224165337380131	0.013895543098068303	0.000603712502810203	0.004594566091324018	0.007532196393986631	0.005217553090250664	0.004056837876770941	0.0055392561654922	0.007478007934243649	0.001900453806785539	8.078664346517147e-05	0.0025441921209154715	14672.376383234692
400000	-1090.8634273924476	-61.22284762137105	-1029.6405797710765	264.5971853613011	0.0	17.681230945137084	18.05024850495703	0.06279436862524927	0.03136327307565114	0.000708919029286881	0.032138953387172424	0.054544085909278665	0.035391764959648485	0.03532484387847571	0.040873588689506475	0.0235114940810453	0.000980535841518824	0.0007539397904207253	0.0008262654497774183	0.0028463685235351915	0.0009640106284375122	0.01594872866721892	0.011716738809321146	0.020121455532863625	0.009357671209941415	0.0010738517004144875	0.00040268160597248443	0.002092521307733412	0.0028189191337352655	0.0067153212455673674	0.006376078792383652	0.00863729720306059	0.0005430694189237044	0.00048376555883127443	0.0007162412118935664	14672.376383234692
500000	-1097.6997848483663	-63.743107254963796	-1033.9566775934024	264.5971853613011	0.0	19.49600560776075	18.685660017911406	0.03795086330595803	0.012027277650901889	0.10737509183567272	0.04425687690550903	0.06560395356747277	0.04015304997002537	0.03369402646515991	0.04114849186591157	0.01563809901758889	0.0007832893752039511	0.001969686914595404	0.0005885220854201678	0.0026497831805757342	0.00014723478261875576	0.07468815354099129	0.012326463145693217	0.07665293037979137	0.01289180914626497	0.0005328113615387998	9.400259039638442e-06	0.003960905967114978	0.003221108005052168	0.002954716845928093	0.006616136345013952	0.01171946714508255	0.0015660835320768993	2.4624656865859042e-05	0.000606580809687826	14672.376383234692
600000	-1094.8423467755758	-60.002880832290025	-1034.8394659432859	264.5971853613011	0.0	19.718950271455668	18.965297204121498	0.06875752006299415	0.004340867813938792	0.0010346640473690935	0.07607824896115738	0.05429430155923887	0.04508334424796533	0.025265376685960322	0.03254520695883481	0.02689992223919788	0.00046869846617066704	0.0010150764441525292	0.0005001401335880081	0.002651348487983679	0.0014856102330678754	0.032314956980825614	0.016701276727415153	0.008823087575572238	0.0012685346355167685	0.0034271302507964093	0.000575371826961424	0.004251377481330315	0.0037736772728963626	0.0038506753966104875	0.0062456607649376125	0.008177475888596492	0.001060699651858335	0.00019172772669839012	0.002847645629849599	14672.376383234692
700000	-1099.3338433182107	-64.41840716726549	-1034.9154361509452	264.5971853613011	0.0	18.075464768970658	19.741388407204486	0.200526536946349	0.00764431512528745	0.009820483396807134	0.05043106108422414	0.07789013092198752	0.02395490616104505	0.01893202728654045	0.04620641169048478	0.018932564061116087	0.0013772021807237406	0.0011682512392060368	0.0011358141399099022	0.003767242970880506	0.00032382624852933897	0.03246691232530055	0.13090038869763154	0.0050271968564787935	0.039637252369180524	0.0013383172651180502	0.002908319662663852	0.003268197408467705	0.004363001805531586	0.0033099340483152087	0.008887908051074244	0.005876607915861375	0.0010441014410070898	0.0005684430667216	0.0010678762827049724	14672.376383234692
800000	-1096.3235005290053	-59.22972341555718	-1037.0937771134481	264.5971853613011	0.0	17.8689877032697	19.526358070308525	0.009671606542754481	0.07831348237768215	0.0026260761524340356	0.04543832537223484	0.035778544584631755	0.017302994281927952	0.02735219471055717	0.03622924863446582	0.021709137159281126	0.0015569694781311498	0.002342400539480504	0.0007961650150403294	0.0028398700847321267	0.0008364842031337257	0.0124714265704781	0.001718142978686137	0.0051748466558180104	0.007180248374397739	0.014428921073432204	0.00014878484441260787	0.004400677484700252	0.003760256188138116	0.006147177843090766	0.005833088136199065	0.007209311705730877	0.0016104398373436117	2.0267363136479265e-05	0.002145946038540849	14672.376383234692
900000	-1101.3909812875881	-61.36275853268713	-1040.028222754901	264.5971853613011	0.0	19.706249504344495	18.19169465453651	0.01999126639747212	0.001231428922515529	0.0016448777384385212	0.09766677304307092	0.04886064521115279	0.02604750822852781	0.03954400223999306	0.04497875037465525	0.02363143876805689	0.0004205355087798624	0.0007517918047749023	0.0009589390418247317	0.004242959360719774	0.00024399066545594417	0.08954104728668252	0.004344652138542682	0.027633772132354264	0.00041888231840023487	0.0023788185141077087	0.003699812417606544	0.004005390394613412	0.0009040465706086381	0.005498851139959958	0.007865025288186493	0.0036949656928670937	0.0005195141230974887	0.0010828528150387394	0.0015825250486721759	14672.376383234692
