it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	tot_length
0	-9189.293646820104	-138.7561874637546	-9050.53745935635	264.7107606450934	0.0	1.1	1.1	0.2353336991481116	0.18929200397107412	0.29747906264097845	0.2757783118784972	0.23813747786275222	0.8545124932191034	0.1898107040900902	0.6046428620410638	0.6473779153030008	0.10738983515389192	0.37427265170641083	0.19121464484724582	0.1669020748878762	0.3543892109548291	0.18084642615856436	0.7742144040239171	0.1891051048542775	1.0922996960058704	0.1253612698808797	0.1130267431511849	0.5287795560371213	0.18413282791223434	0.31158355512819824	0.10390068916213299	0.4159634063140159	0.3347743324865923	0.10028536392057318	0.2840849186864881	14687.543221590799
100000	-1106.6124821180765	-63.00354734569319	-1043.6089347723832	264.7107606450934	0.0	19.878609348502707	15.524970422373437	0.09103348407861037	0.016645519534813517	0.03422039791810883	0.06678344244930993	0.07116963418017318	0.015534625160275853	0.025883038837397516	0.029095187333982173	0.014222417133073591	0.003262808642153724	0.0015892854784662215	0.00044060113762652887	0.004372227906284652	0.0011543088291746547	0.012219682066206114	0.03763438172598841	0.05669905903190535	0.009630448737793344	0.001855111773462169	0.011969822562681521	0.008969326048914034	0.0021325561961075584	0.004333411883073525	0.010928809105250755	0.006559802913253969	0.00040022149746973454	0.0011586846326422338	0.0009176554081969352	14687.543221590799
200000	-1101.6409155476154	-62.83427645672802	-1038.8066390908873	264.7107606450934	0.0	19.219727899550026	16.233915055399084	0.13508891112228213	0.006905937921230593	0.0059048323414614785	0.06688995817024207	0.07314162858402785	0.024642421527625396	0.03582082736970843	0.05003251884491253	0.015492069869698403	0.0017800120997364891	0.0008071044093933069	0.0007269496499867971	0.004235039157393819	0.002442990496048007	0.004588058191516594	0.02317837683324745	0.020740463923772073	0.008179866578847962	0.005995745056283393	0.003727623866865973	0.0029447141296579872	0.006984893307602483	0.005855047954864115	0.010400657265608676	0.011307150963048834	0.0011374151371604231	0.0012098847136651427	0.0010439404033516766	14687.543221590799
300000	-1107.3607764608291	-63.70632669239508	-1043.654449768434	264.7107606450934	0.0	12.92255110435817	19.562876314596824	0.020437440467479084	0.08501830924311071	0.019071833418477326	0.08083999972069783	0.07007480379801409	0.021162684440989125	0.0319567780992838	0.03635676879366657	0.020632225549353542	0.0023352008741972796	0.0013938392588705472	0.0007620342400506523	0.0029722557271461797	0.0005408334502726047	0.004024556001494847	0.022541379610942606	0.00928695705898571	0.03142335265764112	0.006279100242888701	0.008063201909869866	0.003719673669960172	0.005776435825320569	0.0055013678678388495	0.00849625455316188	0.0057852498719182365	0.00037921719177635933	6.753462713967542e-05	0.0029519641280861	14687.543221590799
400000	-1093.7099836377984	-59.63666138979163	-1034.0733222480067	264.7107606450934	0.0	19.727408295690125	19.85928741234351	0.06663542961078849	0.0006253356189978433	0.035773776259362663	0.058146203835047254	0.06485421349593413	0.0313012940577049	0.041661988824592586	0.04081165562520937	0.014492349065553968	0.00236179974981617	0.0003383884602923575	0.0012731798286904135	0.0035293050518782347	0.0009497716122006652	0.010021750192789313	0.00044665887426505294	0.006160428743534621	0.004034467744777792	0.0010597492857420461	0.0001873080604298441	0.005667474677004953	0.0015898958986851753	0.0033877468463306055	0.00916677860157341	0.00810081031654965	0.0005785121853576825	8.854857331166026e-05	6.125303385754047e-05	14687.543221590799
500000	-1098.9433125888872	-57.83869964163625	-1041.104612947251	264.7107606450934	0.0	19.47929858721149	19.40923447933204	0.09089935970244331	0.018487709956269433	0.010900380067819791	0.02979872432297917	0.04937810908589674	0.02071238187908051	0.024364794951043694	0.031079951322171732	0.016942350759560715	0.0012793339563564297	0.0018565567647398796	0.0012288022428124528	0.0046393467284136	0.004502026570583599	0.003922987418333743	0.018869552813453802	0.005013150405009754	0.0006563755344039242	0.002338714657820863	0.0015563255978110666	0.010478875526530951	0.004802257726595635	0.003022645988929487	0.009331531799984605	0.006445492863885512	0.0014297612049365641	0.0010887085098537294	0.0016537492772381547	14687.543221590799
600000	-1102.4769260205342	-64.71441814022391	-1037.7625078803103	264.7107606450934	0.0	16.234469908166673	19.279536647505825	0.2183615649469828	0.04242928020040259	0.07428158354185661	0.0273976059183522	0.0673961272780306	0.026614973731181338	0.032376730586855175	0.038651621167028964	0.01972545881878967	0.0008758259974361447	0.0009715995959761726	0.0018372354203800342	0.0020762575254853984	0.001117153016674509	0.028400337641319606	0.07172228148367733	0.00986609836156726	0.010379627983975064	0.010077063742050446	0.003469826269260504	0.0029871141713750005	0.0029908330251559915	0.0036113726390898477	0.00711397997177369	0.007037257561921405	0.0016630546497905278	0.0018966814119702965	0.00026745750516541235	14687.543221590799
700000	-1101.336371465282	-60.22806904359112	-1041.1083024216907	264.7107606450934	0.0	18.944419876251438	17.682995831451368	0.050955933836935835	0.045509419248597235	0.022168120495291658	0.042164969699844825	0.06110314324506547	0.015272131313289698	0.045672786762879544	0.03696705121919375	0.022971717442924307	0.0022381555092366653	0.0014579140609886172	0.001442194601983805	0.004397284371732721	0.0018058601055604892	0.010343742572993475	0.019466689570055366	0.003969572553769567	0.017312947245978774	0.0036391448286324838	0.01094069924035115	0.004167141277865124	0.002100692575697134	0.003279089646951732	0.01018389173798554	0.008402167173588328	0.0023476637722752523	0.00029952629382399193	0.0010116903369490416	14687.543221590799
800000	-1106.7494865243264	-64.68114107629084	-1042.0683454480354	264.7107606450934	0.0	16.673861912462865	18.084105974275	0.06053584330792219	0.02460647746687011	0.00010786910278662881	0.06505328489548133	0.09484121690639491	0.01952432365851575	0.02315907436254114	0.03313141665554457	0.020731927377372714	0.0013311648679933347	0.0013938501644554188	0.0010867200749887988	0.004536188710609898	0.0005649209008038236	0.03190171076164658	0.030700130566047368	0.02688213279425311	0.1373910995733942	0.0005813344438434933	0.0009394828580699367	0.00519420799338287	0.0018203910615862255	0.0075843951639768545	0.010241208645252487	0.011029302491370256	0.0013295975004613387	0.0001944118450396489	0.0011619694623443968	14687.543221590799
900000	-1112.8684915010324	-63.341167133425955	-1049.5273243676065	264.7107606450934	0.0	16.615554411576486	19.320378530242177	0.03160813378384621	0.03125227237065443	0.06227569371288834	0.04115525232996971	0.06630088328955329	0.017943091780082836	0.03814399811182729	0.058290811344287805	0.016087841614838616	0.0029751849915002713	0.002613684706053638	0.0006624791474794591	0.00524280001948296	0.000781629925734298	0.018231015250498736	0.13017004276635835	0.04137921020185094	0.0054492232300330234	0.0013764171745685458	0.006096392353580838	0.0036536890159124245	0.00647627780082557	0.002557977562819666	0.008014291124654814	0.010084147241779782	0.0007011920204969665	2.477733636261052e-05	0.0011297753753249716	14687.543221590799
