it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	tot_length
0	-9442.519044065422	-137.70678790988086	-9304.812256155541	264.774190976385	0.0	1.1	1.1	0.3334612383849774	0.8447929383461997	0.25940305439318084	0.1640711337068776	0.2852772822340456	0.3221155463723553	0.2522808748897346	0.6871836528056385	0.17754832837529344	0.12264863142737319	0.3778878230675163	0.15155382584334048	0.37731617997592937	0.2874146630987791	0.3081216041154898	0.19355001687957168	0.11885957808000122	0.13100887977723383	0.2355600191652847	0.22647428921977672	0.12885970322538193	0.3645739696737598	0.14023974129664002	0.3547683173919082	0.5590719002626673	0.14053551165759395	0.3819446696118066	0.49823811433951537	14755.414377868095
100000	-1100.375520954685	-63.00937489677178	-1037.3661460579133	264.774190976385	0.0	19.576041693580258	18.519605256331104	0.14219512461011077	0.0272724039825572	0.002593595480662907	0.09969330150278512	0.08710802459864278	0.02620072370870114	0.03699335370717717	0.037420255945222046	0.013389213898729982	0.004665690962628238	0.0033751472829834693	0.0006903666058590035	0.0016372028657039193	0.0011143536437375479	0.06666594924474899	0.021475411675156007	0.005977627115315503	0.011101174089141111	0.0012632539358621681	0.0008336155745073045	0.004835068608889619	0.0031666589221936436	0.005172987967588044	0.008190996823370641	0.008720297329121458	0.0010462601544519794	0.003439357937400532	6.0176921878540026e-05	14755.414377868095
200000	-1097.5148434205826	-59.620689754854446	-1037.894153665728	264.774190976385	0.0	19.96475747880137	19.96698235295373	0.06499885149426472	0.013732203648026669	0.0030219633632279285	0.08142711080242375	0.06736344276906245	0.03167425317395242	0.047154233238520964	0.04237881380201515	0.009580858469973358	0.00204686838495394	0.0012250986910639647	0.0005071318996034499	0.005421036100186371	0.0018456003322703206	0.03377213118794439	0.010592065009008195	0.016796594747808792	0.018779827292734946	0.007634727829455147	0.0009972765755934538	0.007526829702112874	0.0014862406912760355	0.0038367314566814166	0.010924595851873208	0.009842519406231537	0.0012982332391219596	0.000755533624126354	1.593595395462123e-05	14755.414377868095
300000	-1099.2234977081941	-62.0021376740604	-1037.2213600341338	264.774190976385	0.0	16.037374604520515	19.368279002430967	0.09415086641942338	0.008379163023363412	0.018630922737763282	0.030293632699564876	0.1063556193315111	0.03515776413668473	0.035428760164421105	0.039656531340070515	0.017141644437438285	0.001108194882289921	0.0020396049219947323	0.002319855381682178	0.00441732498658557	0.0007776490015429506	0.018345992981873345	0.018168237449156154	0.0076804437269477055	0.02537873059069886	0.0021352034868573006	9.208738867186622e-05	0.003168169998851497	0.00400768341898699	0.003723056858980171	0.007813745695719644	0.006594207554180234	0.0002504387348338222	0.0005195114912341654	0.0003130394891885635	14755.414377868095
400000	-1103.761865052914	-64.07389428124725	-1039.6879707716666	264.774190976385	0.0	16.867405977814265	17.605735094657263	0.018622610848889755	0.05855607654584581	0.0035847011751881323	0.1402049858801966	0.07743387533984761	0.039339238365195074	0.03625090427524317	0.0431176919236249	0.018522160900225806	0.0021173471989485567	0.0019573765300242296	0.001399982840321069	0.0018476610260594964	0.001825942728112783	0.019246990607667682	0.0007522685135013984	0.0741741099048838	0.010861692482004786	0.0030955487730362245	0.0041196062992838525	0.006598242437417159	0.001427656338135759	0.003385864795104748	0.006200280616069606	0.009001271106859525	0.0011211519922682371	0.0006003632714753488	0.00018113142588101804	14755.414377868095
500000	-1110.6095660327499	-66.32045241374257	-1044.2891136190074	264.774190976385	0.0	16.95311542183513	17.394136092520572	0.09624480561932122	0.11484015894126824	0.04945833193023337	0.045059369953463844	0.05582560229900628	0.025129853065657598	0.03940233639996264	0.040292401402254735	0.01674451726713049	0.002801751130722926	0.004205577342718272	0.0002009364262875814	0.004582581144293471	0.0003305493155434362	0.044415406019145044	0.11556498754497051	0.024000922923047348	0.012968574283239089	0.0003822653954301836	0.00276676008765454	0.013971045281613002	0.00464785378777443	0.0026777651396206496	0.010006895989514493	0.009407516495008303	0.0012364566381013072	0.000860967978439866	4.7106417365922306e-05	14755.414377868095
600000	-1098.3661119921571	-60.17928849091377	-1038.1868235012435	264.774190976385	0.0	19.17636319908222	17.84698472566539	0.010144211598555738	0.006840029036952334	0.048796646899147096	0.03781537549685004	0.06413076066943454	0.017063761557043183	0.04394054655884839	0.04565452916396611	0.017071150995418675	0.0015775023154661649	0.002256326244940328	0.00076884664132798	0.0022180854419736515	0.0014809868896255884	0.013684473636174869	0.005793526874295164	0.014751493914160144	0.027287991710621736	0.00042252575879011536	2.4277254125294438e-05	0.0018466014850976858	0.0036426491260497314	0.0035300423666148654	0.007731772942765225	0.011469865336161122	0.00015071529504593698	0.0024482113664306736	0.0005241226371534128	14755.414377868095
700000	-1099.7182612270367	-58.815918529633215	-1040.9023426974036	264.774190976385	0.0	19.86439757652986	18.633687984528784	0.025485315758902113	0.02632757456246424	0.027865314985092753	0.05057228702843528	0.04506861320991357	0.02525272248309766	0.028325398137436026	0.040021443720837005	0.016568414909574454	0.0030121774529688465	0.000940622996279851	0.0005985292020236306	0.0015192582127469768	0.0015156254369275543	0.013080412482785832	0.025724415792891028	0.0033643902622418633	0.0357694990284224	0.00799795817302556	0.004495424045369159	0.004444500631519408	0.0008393232185762481	0.001697640678098245	0.011039590611222162	0.007008452306199126	0.0005100794932047968	0.0010831047608277434	0.0003406287076446387	14755.414377868095
800000	-1099.0584883615436	-59.49508439093048	-1039.563403970613	264.774190976385	0.0	17.78286306841784	19.98569553160709	0.057335908113008045	0.006918044385784297	0.057386241683763065	0.04580616542705009	0.03684630875679449	0.03646963394003791	0.030385955064419986	0.044246631384604926	0.014289969207689041	0.002542215238404402	0.0012315652257654675	0.0005869839092621119	0.00397033125895141	0.0010980770141587302	0.0067192888034571675	0.004358309295322906	0.044707035433833094	0.02000548859840143	0.0017852820733127701	0.0017561457522963949	0.006036969280493523	0.0008990531830813353	0.002713864211033397	0.007096417620973555	0.010319258301059075	0.0020804579821170005	0.0014030841470646256	0.0012606387655324615	14755.414377868095
900000	-1101.3766476179364	-60.2373088739641	-1041.1393387439723	264.774190976385	0.0	19.569432251205225	18.63400121256635	0.14930608269261564	0.005137330468634663	0.008299145353829054	0.01793111127071266	0.08495747885660396	0.023930865123480673	0.03788233279500954	0.0276399843250032	0.012031805834257303	0.0012040909596221015	0.002075027323217834	0.0007642232891461681	0.0017119775238357707	0.0025371733918373193	0.001961586092950906	0.0017858247242517077	0.03410894701753624	0.0022512869108757493	0.005717512370658724	0.004581970751254739	0.00629274335888528	0.0051812204142948235	0.004224513685544008	0.00991236936949957	0.00739204824925113	0.0014133367788101868	0.0011339464761215537	0.0003270719064980786	14755.414377868095
1000000	-1101.7281487913838	-63.288823501761776	-1038.439325289622	264.774190976385	0.0	17.62262413648595	19.993276742062914	0.20253867768901132	0.04929828826175284	0.013435740637158633	0.05520519889667073	0.06293535557839901	0.022126547947726262	0.037452523981021967	0.04166217214588051	0.012489585959753545	0.001793430625828665	0.0018401555558821955	0.0012856086807750322	0.006333606217411173	0.002749872539695639	0.06736318737543241	0.039043734938915074	0.005917280051871018	0.017886903248819214	0.0073884113592883865	0.0017749496750436285	0.005386126336663669	0.0050952677223926384	0.0025901147894534047	0.009664529525971846	0.009940325817785858	0.00020395018002741151	0.0010449550896180898	0.0002554384274588278	14755.414377868095
1100000	-1114.334923775222	-68.1688973777839	-1046.1660263974381	264.774190976385	0.0	15.28215259362372	19.604331805379392	0.3549214437109648	0.03083990593397074	0.03206477193223689	0.10915666413646583	0.027491079270339603	0.02533452605473446	0.05073978303902578	0.045426081196692544	0.012473877675179837	0.0032711540453956908	0.0030832683151083076	0.001041137849070853	0.002858677448960607	0.0011936535455444417	0.061126277020418236	0.03819974969691051	0.08342391873532123	0.015688018076620607	0.005995023996657107	0.002336335856799966	0.0100474285517309	0.0029311380527083167	0.004388914393584733	0.00922974716093871	0.005375063339652727	0.0008865822661932388	0.0010183127300954881	0.0008867104039250577	14755.414377868095
1200000	-1099.4805487261383	-61.638079455437044	-1037.8424692707013	264.774190976385	0.0	17.194521961868688	19.34057384038544	0.06598894564429125	0.0020076823804010915	0.018331658636604815	0.06634250926119734	0.04683148301540552	0.03448457103758727	0.04474209892896892	0.038753326826582946	0.013018426435552274	0.0022818545902642167	0.004801970937845088	0.0012910837105917583	0.003076159426123492	0.0014011664975651448	0.07842474361800833	0.027703544068177526	0.02085469397258167	0.018624102334765358	0.006178967583780742	0.0006398700884936544	0.00797977599161659	0.003660423914121397	0.0032863277680512146	0.007501945233024505	0.011284185737455996	0.0013359961274513668	0.0007895266798710925	3.928504722713112e-05	14755.414377868095
