it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	tot_length
0	-7532.834047626169	-159.40155077534055	-7373.432496850829	306.87637750673923	0.0	1.1	1.1	0.10367074220024519	0.24580562782808474	0.593207025937803	0.26714357817881046	0.17936854720766376	0.11492299969556947	0.1456663261620683	0.45756550845184535	0.17673907427420152	0.12471207108084656	0.3575495549245581	0.3204607299984126	0.1616347189855521	0.2495098619032021	0.7498778688645568	0.19235588610396775	0.16045465625257854	0.11462923845347757	0.1209606698858313	0.12077147031620405	0.2127508850368296	0.5744919992475377	0.19858726630940143	0.5398992476799868	0.22710118137168367	0.14830109209049344	0.13104560646725005	0.10960837803408517	0.29591409306668426	0.1970879188454138	0.1092950735488458	0.10755070478499831	14433.039301137114
100000	-1237.6752248209568	-76.14515024004744	-1161.5300745809093	306.87637750673923	0.0	18.924364846470226	17.75906136615923	0.024657491405930557	0.12404974729936208	0.015684634234959385	0.023060723978653924	0.016587054367406547	0.11033205347752638	0.05082101839589156	0.049298764539202435	0.02528428432133769	0.038194506114482045	0.02070716005495731	0.004076159477920057	0.00298217705347662	0.0015232837029442719	0.0014552894923040502	0.002965387911607015	0.05994753676901811	0.009377801369998866	0.0647643296833647	0.0701042037977259	0.002068106184194587	0.015923754712444782	0.004622381957417104	0.004706742406143141	0.007961857002602239	0.005714164269921943	0.004037353773245088	0.014023844466578865	0.008454956721497738	0.00117468897036575	0.00016955629649611012	0.00031520849382662085	14433.039301137114
200000	-1245.724632053818	-79.98883542017997	-1165.7357966336378	306.87637750673923	0.0	16.31351176690432	19.35314203554332	0.11249562188399395	0.0750678637153892	0.06336116580375005	0.07617872756066137	0.03050431824593388	0.09933701883186385	0.12021532339502983	0.02950320876318092	0.04087801448992055	0.042074382960252746	0.017025463071383546	0.007156201017787471	0.004072641881475805	0.001474562968727996	0.003973861134201324	0.0036235587778647126	0.12608940806498628	0.043763780868004684	0.02466244049257813	0.06276160314608463	0.016912534288548192	0.0013767285417879153	0.005505505695882034	0.015079828651661836	0.00571053848304251	0.00435542577169908	0.006077256928468497	0.010897492090538656	0.011770362436180218	0.0008719454288807203	0.0018153805747041837	0.0003646780073095894	14433.039301137114
300000	-1241.9435593043706	-76.21865858429256	-1165.724900720078	306.87637750673923	0.0	17.37067777381678	19.01013449036126	0.014477750219658083	0.03045532668552467	0.057598340586301776	0.03303307638412802	0.03541896685960284	0.13038580359051896	0.05646441835927663	0.029607433202415642	0.02798421236221872	0.039292526897762095	0.01748441852585254	0.0064340068932572814	0.0011466241535035796	0.0016824130458332797	0.004106943449334727	0.000922728313856483	0.08126320023845177	0.002012908801504339	0.005471564666878557	0.14488556218228169	0.00609458258752337	0.01394197716814989	0.005775493387467298	0.015663274598438578	0.008713752382039532	0.006059567397445429	0.007203263625020562	0.013254235138313515	0.007162340272614938	0.0028808055773911286	0.00041487355710696056	0.001197851471108883	14433.039301137114
400000	-1240.010140877086	-80.99000666229003	-1159.0201342147961	306.87637750673923	0.0	17.959714615356795	18.929215415471266	0.1527134909500236	0.305434261833477	0.012583906664932408	0.01948515997234678	0.06843365618815249	0.051307292860473724	0.07668136714303754	0.02478151075635859	0.03340791038828415	0.038100038829246896	0.018578410264460044	0.0047314766938596885	0.004909900596048755	0.0016041917772695014	0.004077239967572737	0.0021838131603597417	0.1076289548318149	0.03136392964737183	0.007801192801989612	0.013697551080776076	0.07511340191086785	0.022163006736447975	0.0018538474453440358	0.0033714012285786126	0.004937133580781497	0.0037694828583916184	0.0047329776676301874	0.01168230099367529	0.0059547909036779915	0.0019669985412664108	0.001920397117696959	0.0009781498048016149	14433.039301137114
500000	-1234.7950712398588	-72.70560089289616	-1162.0894703469626	306.87637750673923	0.0	19.808616957647885	19.95104692983761	0.06041023389449797	0.012487775868927908	0.043595036293368916	0.03019620522775941	0.006000591197455198	0.05125028316002194	0.061814331369681286	0.019532470368092462	0.023661190749764614	0.044348170753834126	0.025426262510267084	0.00660883328104691	0.0017905347688092596	0.0016139895684050697	0.0016553314939293617	0.0006126905539416178	0.05864455564797111	0.09569645878216092	0.030306579902080515	0.0062946995210431435	0.06256602413388335	0.020575027639951414	0.0027387112961532226	0.005152925506984223	0.005549690092206275	0.004012341851410964	0.004414619293288046	0.011561923773520659	0.006785883968255369	0.0012675714680971686	0.004628279339067654	0.0009015205029255691	14433.039301137114
600000	-1244.8669450091463	-82.87750046617809	-1161.9894445429682	306.87637750673923	0.0	13.074938781566646	18.47664871476156	0.21954584343532377	0.02179467776127965	0.1253022834151003	0.06459435836418452	0.008610063940817828	0.06987169121500256	0.044454835705907574	0.030227174133430196	0.040674964749152866	0.03145474057724294	0.0185927112844625	0.0039830145047837825	0.0015148043734428092	0.0010082036579865167	0.004347245476398402	0.0006022177143322579	0.03655562022933921	0.09422307202765799	0.07278883051398838	0.10174866382957758	0.018395186152649852	0.000575580546275705	0.0026039076667238653	0.009901082676958536	0.004834019928043431	0.006872007558608265	0.006942083138422719	0.009330729278491086	0.012257921234293069	0.0015399766987806488	0.0011804019194211078	0.001370036747940812	14433.039301137114
700000	-1231.259732778696	-74.6274739332306	-1156.6322588454652	306.87637750673923	0.0	19.26228931551269	18.731624741396594	0.04926695678012957	0.03786134779998546	0.0527933062200922	0.007691284155743774	0.022595268969547038	0.06287301171364504	0.06680110926634136	0.023597748977866588	0.02600086579225109	0.0355765547211169	0.01834289685997475	0.005421192632408541	0.002978221295603865	0.00117927277496916	0.004659979681547832	0.001391760121072492	0.08909865007268555	0.028522075967777352	0.12367555703933643	0.03420303287678711	0.009502106765492313	0.009566874589143843	0.00797771640704169	0.003162441330219819	0.0011458410431128621	0.0048006797517220435	0.008057331784857819	0.010534332195809563	0.009530720430030507	0.0011760518498432095	0.0010629709486868935	0.00035527415650476226	14433.039301137114
800000	-1237.1575215697267	-75.59484049020236	-1161.5626810795243	306.87637750673923	0.0	19.397049344472872	19.875735536625427	0.09453962559799879	0.01968737471379032	0.05991370340669172	0.005545824637828322	0.04183968342509594	0.06400477736181938	0.06980443667057865	0.017392065915857916	0.03452486656829026	0.04639175488558325	0.02114238088156747	0.007015218214015618	0.0017379428880562834	0.0003184355751543724	0.004829778870038228	0.002138277628481486	0.10877787829249794	0.05973470083649501	0.04237097228438007	0.04944267824562852	0.054154637870055373	0.008371499882107504	0.0016936051588946504	0.006236354110134861	0.008300558055721117	0.005673164700566763	0.007846626806195087	0.010437628184203162	0.011755421695458882	0.0023475919164500023	0.0009355810632046053	0.0007314024453165852	14433.039301137114
900000	-1239.642947555501	-80.44774870377921	-1159.1951988517217	306.87637750673923	0.0	19.139883527446173	18.486846258764835	0.12835543382628342	0.08687549803637998	0.03880508318908492	0.07366049027070519	0.062250063303835174	0.0901154344307798	0.07115386566148602	0.0236553915786428	0.026657529849483327	0.039023011069435815	0.01959046473538656	0.004857473946946413	0.0036294685806577496	0.00130332294745838	0.0035919081004773925	0.0018649451770950552	0.12135431336651845	0.012602203772166259	0.09812894650461564	0.015805971877863784	0.10964414413793246	0.0007638623401142662	0.007413812951877073	0.003057870889057006	0.00528446909869049	0.006250720129718227	0.003031046505864859	0.015271857647992623	0.011197893859567104	0.0008653178725949051	0.0008042182650624643	0.0013432154989713185	14433.039301137114
