it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	tot_length
0	-9766.072221152719	-159.79087286605028	-9606.28134828667	306.70006154151895	0.0	1.1	1.1	0.18022493341186532	0.1568112787647373	0.20576560896340582	0.16184545150842955	0.3550248718851916	0.26946025840684107	0.1010187406277185	0.1328028203591821	0.26276748703760683	0.21609343437450984	0.6563642195353301	0.15946401429886414	0.23517525839561007	0.1349594635594631	0.23380909007402928	0.2557517290267503	0.20248230969008874	0.17079448056904423	0.16145124614930478	0.18522891513728662	0.2166670156047389	0.4670550558269846	0.29084302134073925	0.10279180797482655	0.12395748586073746	0.20469720151067766	0.17443647753994557	0.5639108373583123	0.5591420592195339	0.3388086852048451	0.8243731841522719	0.10495849490564187	14296.239336844934
100000	-1236.6605655040346	-78.31949055194107	-1158.3410749520935	306.70006154151895	0.0	15.070164442980271	19.273464844959527	0.10703368679465147	0.11323374628630238	0.12759959060313952	0.04630405322807304	0.01920554299183129	0.07107203253932085	0.08340759865476825	0.021514166908023904	0.03053511062712916	0.02851533598002602	0.017668772767760948	0.0049514494040191195	0.0017009513744333626	0.001170432775720742	0.0037333445002022615	0.0020683717705065924	0.037820593436209804	0.006164790841502538	0.05637032269901536	0.04211142684674935	0.019519076270981078	0.021266483057859453	0.0032101603940688033	0.0015485854412739155	0.012041708459437467	0.007427234882244667	0.007394183722965729	0.011139288160540974	0.0056687810699210086	0.0022096348120905357	0.0034282941517487	0.00029488511035856375	14296.239336844934
200000	-1239.5718281415445	-79.93341662328825	-1159.6384115182564	306.70006154151895	0.0	16.59937422670293	18.236916778963774	0.04200811416440104	0.028514864270390145	0.04519612146031459	0.08010056948981199	5.74681345524407e-05	0.13377477130463264	0.04570952765557569	0.020565762237879613	0.029078464967791474	0.039886311349173226	0.0215592464686794	0.0038823035120523377	0.00045932023740186904	0.001963228170624963	0.0022735450998372896	0.001138986070094199	0.17101625806435813	0.046065084093322425	0.08931202961094489	0.05486413590929051	0.0036251293642693854	0.0063095755262747265	0.009078211241252833	0.020075846987620213	0.014228821331246757	0.002174547503004986	0.006537485471370022	0.015222669318916606	0.006343079856976523	0.0004957071638699693	0.002541121355713137	0.0004165813776362602	14296.239336844934
300000	-1241.34144498238	-79.16350812540793	-1162.1779368569719	306.70006154151895	0.0	14.772763080515166	17.335760607980923	0.16658902652062668	0.011411083146661458	0.057366347867718805	0.01463101494226058	0.017168719963085027	0.098980723905903	0.07776703530192738	0.03340849338638441	0.049479878062884015	0.034051352148062965	0.03158875255360426	0.004615229012012221	0.0004927801617533036	0.004511921094819942	0.0023110185027631655	0.00047775077907112335	0.04565693261212565	0.021953149903330107	0.02494687184548671	0.005082662054623391	0.025359480357662525	0.04671947055753903	0.004615677625139199	0.0025198941220211228	0.007075602949078067	0.0012692977381486416	0.003972206318781741	0.010874755106872285	0.003457098142586956	0.0003893973271408627	0.002490437630982883	0.00019689366717361108	14296.239336844934
400000	-1226.0050216278462	-74.51136497605995	-1151.4936566517863	306.70006154151895	0.0	19.459609432286555	19.030207324630283	0.05265957431644794	0.15502060844666918	0.017079463952716752	0.0034006792944375757	0.0404283667163973	0.04603739950846263	0.05317899534364257	0.02165863813780664	0.04132200432123038	0.037217406036303385	0.025608188854532435	0.006408218916941307	0.0012578140663034383	0.0008529586956599229	0.0038518076364237397	0.001353095885000947	0.07785600838581241	0.00975047720629624	0.020733294623730934	0.033643170581803605	0.041152251944663994	0.014757543948718721	0.004442627705791386	0.003660360563028929	0.008011237173133276	0.0029655613930592733	0.00603044874398722	0.01330604597842606	0.007421552023821221	0.0010804887655742122	0.0006105055497691566	0.000183735128943017	14296.239336844934
500000	-1234.1747084870435	-77.29892900492189	-1156.8757794821217	306.70006154151895	0.0	19.669879716417	19.52963864766576	0.025728473948423487	0.04460414651180026	0.10650029838497693	0.023029036441798847	0.052365745575508396	0.07930530335107952	0.08111350974959271	0.01543078347573464	0.035375530919626946	0.03702550029061358	0.024730806508377504	0.0057225932325507085	0.0031928916669833247	0.002332387948561286	0.004170103573770221	0.0016462049689519624	0.08373987149251966	0.07084186483374083	0.15674044071762572	0.028027509616445522	0.009284027978616922	0.014584783343397426	0.0038834447448387564	0.00416566906045332	0.0044029043108975265	0.01004161746391945	0.003529345676227887	0.01672441901474098	0.007212304703010731	0.0012962196905618676	0.000819732829376086	0.0002489420960676545	14296.239336844934
600000	-1229.1598854028368	-79.85395235687731	-1149.3059330459596	306.70006154151895	0.0	19.936607813897957	19.06636008477363	0.10874689822538887	0.005392651808939616	0.054460727210810786	0.03754452220498263	0.019958725416771055	0.08575944173983667	0.07343535319530933	0.021657599632242047	0.035082269723413155	0.03639786068021969	0.01933396474100832	0.005101257284383871	0.0016487633741339958	0.0016738487178163564	0.0022705780979279636	0.0015679644665586212	0.3400986113698854	0.02875520058478647	0.03751872784350992	0.07066615530899155	0.01079273729625707	0.001157526538142026	0.008608288964613886	0.00401936074905735	0.002815096442192827	0.004248979284966041	0.006815794041878092	0.01553431958514282	0.009253349681819912	0.0016323969371786731	0.0010572016103890503	7.980231504688378e-05	14296.239336844934
700000	-1238.6391267338306	-80.8389306211823	-1157.8001961126483	306.70006154151895	0.0	18.157784019753503	17.025977612103897	0.3007732723595781	0.00676254717944528	0.12369486596112612	0.018592184020515108	0.02732923691713563	0.0941293573653322	0.041590263934007506	0.02587085837768398	0.027077345693996335	0.03461830033977288	0.023182177756733723	0.002489855025480761	0.00242744592523943	0.0019007709944428477	0.0041717845105139414	0.0023763641779044054	0.07477867214334055	0.045487468996652486	0.01131195922824607	0.07390403149280017	0.002957303793361612	0.02142658091779914	0.01515672308750615	0.008277658622400994	0.003208724918642202	0.009763422738195502	0.0063195153172301505	0.013499584337165122	0.004694495408071375	0.0012088164014749765	0.0009576617311121376	0.0012725973808020282	14296.239336844934
800000	-1232.7941068146797	-81.60832444343254	-1151.1857823712471	306.70006154151895	0.0	19.82330851921585	18.02712637854559	0.14203668898133354	0.1049345854531019	0.07847048494561654	0.00931988762148111	0.05042227901476291	0.08109836996781025	0.044720262464723465	0.022274146284063902	0.03886879940625226	0.03811581684749959	0.01934763148849808	0.002973988148438108	0.003017093347165324	0.0007745463832435239	0.0030952792117527653	0.0015851565343737637	0.16694808845315015	0.18870098841257754	0.02104099534675733	0.016197615982265233	0.012562945774041432	0.025247880574010905	0.00035141260973599276	0.00039418863462491844	0.012725484586994872	0.004204186077288894	0.005393261607814872	0.017550826689807075	0.006965886229857462	0.0017689309235659608	0.00043206217138896475	0.0009458190611852774	14296.239336844934
900000	-1249.759227442536	-84.65556251674974	-1165.1036649257862	306.70006154151895	0.0	19.51818056353318	16.656567302043268	0.1868343422099272	0.008274345788802573	0.35122010557789135	0.03300588442479672	0.042256867634781654	0.041185741834847585	0.06587960333670065	0.014988240839496037	0.04025905508045559	0.04153166174307794	0.02139197567676355	0.005379140132533012	0.0022050192560075853	0.0014898369220754804	0.0030791520002052017	0.0019660872445488387	0.08960196545926775	0.16699943901553138	0.011401829247691914	0.027742096491796514	0.002280047904893313	0.0017004247886954745	0.012514442906535389	0.007029171514241444	0.014628952574266165	0.009797467102072408	0.0010283892082273878	0.010863615005621535	0.0075616509901903425	0.0020384714874321958	0.001548599702311898	0.0003179803164729854	14296.239336844934
