it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	tot_length
0	-9071.387645541095	-160.5942512969584	-8910.793394244138	307.46820941989415	0.0	1.1	1.1	0.2939678319938325	0.21994589878950435	0.1567208692793839	0.2170839508504861	0.11666946659411498	0.17587842829067485	0.2504859443957177	0.16967987690427674	0.22621574788168364	0.48012969610601364	0.34482296591338757	0.29437786018860546	0.21751036420516648	0.14773583907301427	0.11187870866723773	0.45383119274369177	0.18336186917895203	0.26753212421950756	0.5277876600353312	0.21078022365958007	0.741777307394007	0.9006319485078053	0.26566201207980433	0.15748321903626863	0.12514522987440946	0.5328021842734393	0.28786799089997317	0.32485933408125245	0.5165204835332634	0.313560818233168	0.40502800828720786	0.12206698843421994	14217.527382070475
100000	-1239.0671776284505	-80.95466716562663	-1158.1125104628238	307.46820941989415	0.0	17.830024220318556	19.141715183435778	0.06779741829153052	0.04891761481142759	0.14962141744549656	0.02357972539756016	0.03553463246935626	0.07786940651484754	0.08027365147970619	0.02266648579880583	0.03927026497612131	0.03844464259781496	0.024742526549905747	0.003252399077809097	0.0014426309099683386	0.0001057973190486715	0.0028933813805941907	0.0012004736262945647	0.11543776938857563	0.007150070388483686	0.14979182565256066	0.0680261346663618	0.07511182008221359	0.0260763204222499	0.007058808485695039	0.003184378301168524	0.004165124812253246	0.008023468844313571	0.0051568329924260225	0.015404704771039246	0.00958036833321483	0.0007070649073731304	0.0010600141908940549	0.001394762657005677	14217.527382070475
200000	-1236.977409915582	-80.84862703917896	-1156.128782876403	307.46820941989415	0.0	14.11368046697389	17.895227843974215	0.07469237072906566	0.09304102290437853	0.10576511574907088	0.021060364247852396	0.024540492491859973	0.14045548252739903	0.07454651124017363	0.05171082203933904	0.045230710841010484	0.03338712586840038	0.02295842103494322	0.002393789287905409	0.0013174221192720893	0.00036725756076931424	0.0046909088345119905	0.0012491183358657285	0.047472846975754185	0.07694660708032143	0.029428994485526647	0.00422541047618154	0.03285578189145004	0.011170973011396119	7.641245404980223e-05	0.004396938868203648	0.006512690957465647	0.003262610666680018	0.010812881213006963	0.01136338729134201	0.006023851818272528	0.0007388557284779214	9.793746696143002e-05	0.0025308681436617413	14217.527382070475
300000	-1229.3092359884329	-76.28469946592688	-1153.024536522506	307.46820941989415	0.0	18.01726667820637	19.58101687514822	0.06934991001215197	0.0830722357728518	0.1381782434679459	0.0027058035013369165	0.02147386312235548	0.11299102455280571	0.055527502945380385	0.030492013144284656	0.04320284649768605	0.05261582506013952	0.020697269028520388	0.009106960687285446	0.0012133717287844566	0.0016286873198947604	0.001912044932029353	0.0011103880698487218	0.028891694777633002	0.06197214748722433	0.03929520689054933	0.013440453742744895	0.017201360832299634	0.01532811845083396	0.0064460391058210305	0.004185325411032968	0.012901606605648507	0.0033122174426202127	0.005799500926535478	0.012921725152044967	0.0035723267855327714	0.0018449410197845452	0.00043508938582316226	0.0012955333222221537	14217.527382070475
400000	-1236.9776034035763	-76.24602664022399	-1160.7315767633522	307.46820941989415	0.0	18.501266110428162	19.677949854271798	0.0033060894221364993	0.19857788946436192	0.029467126895010104	0.018084437256759633	0.04169147614873518	0.046856341308688314	0.06616750729631317	0.044383989973871864	0.022567562652269318	0.03670993470580226	0.017730089475806184	0.007925017464392429	0.0010769201609850186	0.0013361116577289408	0.00337655047133101	0.0008616869783986231	0.035378411381393075	0.10995974539296158	0.008392799809846396	0.011002195526965106	0.04451726020833694	0.06408453390955972	0.005767344163446499	0.006163357939828315	0.013036567446844508	0.0036505653572176094	0.010245380289303833	0.013594541473944998	0.006472152377932152	0.002086211224754594	0.0003374607907967424	0.0009220779267368172	14217.527382070475
500000	-1229.7428014406714	-78.43946188640031	-1151.3033395542711	307.46820941989415	0.0	18.778954897376604	19.68849844820485	0.09220949370039967	0.09633350334167243	0.1590985275605336	0.025855278478249047	0.10323564762736194	0.06458608228307525	0.05035492875041503	0.02526526358758533	0.03237428849184364	0.03592368886471016	0.017716893855177072	0.006229460757267986	0.002766896958074856	0.00028264382113709805	0.0029875828139381113	0.0013933343685146851	0.06694538193793044	0.04366228370102179	0.014392720607230245	0.007346154155764049	0.04757398221238205	0.038326854764293594	0.013577532382692506	0.002587703637646748	0.0035747317155542034	0.004213935047925584	0.005291813779550441	0.012549951545590793	0.005920582412734752	0.0009394003729805546	3.929358655500209e-06	0.0006029055048529726	14217.527382070475
600000	-1229.1065891688527	-74.74045457369488	-1154.3661345951577	307.46820941989415	0.0	18.3082147602262	19.86716140831564	0.09790705246423292	0.032273009376105714	0.05195231259634149	0.029831850970943027	0.006142342843343155	0.05449323130184636	0.08017454733828798	0.05946669568736998	0.02906547772211833	0.04397602961911577	0.021751440271274017	0.002944262233906115	0.00177183973864543	0.001212896378972675	0.0013780076905975031	0.0009698302948536236	0.05901413518432312	0.0455843454781867	0.07360207563862727	0.009453851270267306	0.004701184047426077	0.012684350033955339	0.005326383502687319	0.011602336949758554	0.009355954473261948	0.007006981878989075	0.004252974978352073	0.013287811929070378	0.003400547787428561	0.00041417117337583047	0.00034226582211975673	0.0004126132773844207	14217.527382070475
700000	-1234.0993819509044	-82.11477002641476	-1151.9846119244896	307.46820941989415	0.0	18.948936136467317	13.816024243025586	0.14678137740928612	0.04497804441473316	0.1888797069980886	0.02440826199247395	0.022205075914372225	0.05474052411705266	0.061874035075398785	0.026303680474874386	0.031233908350528642	0.045287944731744245	0.022321982074068977	0.006964644479182896	0.0022401670647665063	0.002455954318739334	0.002810191879804019	0.002211716126230005	0.05314713572671482	0.06102979833518799	0.058502967743492396	0.017233567187685494	0.008861910186484542	0.034476470625204966	0.000612053920912082	0.015574476638126802	0.006807858199727967	0.002428781501474187	0.005028899344400414	0.01578649998931596	0.0055135115151226	0.0028259867022363103	0.0003466468241637324	0.0008303839533838599	14217.527382070475
800000	-1229.0360938979657	-75.59450423653121	-1153.4415896614344	307.46820941989415	0.0	19.465679739918443	18.14857000876454	0.05076667544376448	0.0072775164724334365	0.02679010167518131	0.0070505830132755135	0.017743710620662528	0.22947174971245624	0.030590286377339786	0.03137411691587656	0.031769697238700004	0.039677374317802994	0.024859381188530493	0.006846553086299039	0.0013405463938864954	0.0017790777483329375	0.0026856823487348422	0.0019582503801294734	0.04164010615479866	0.05745030552388366	0.07500402562177737	0.01699374741658924	0.02082758114093557	0.011139238862510049	0.0004269992754735546	0.006408153421532578	0.0030299280121144547	0.004109837924988861	0.005050637255412154	0.011562009468553753	0.0037495406628035256	0.00045807429735813285	0.0013716959054659531	0.0002472873271597442	14217.527382070475
900000	-1227.8359776823831	-77.74621280299591	-1150.0897648793873	307.46820941989415	0.0	19.10245323920776	19.382432177704572	0.10221713815278617	0.037685855321251814	0.16045023738370598	0.004046015906372148	0.02789205168412492	0.050337662047412156	0.05220131607455756	0.028932223460476626	0.030250236820788787	0.0371408960819509	0.016495655063421256	0.007006411157800168	0.0018387216666622015	0.001855095884800448	0.0023593955777612237	0.0012201962462212999	0.11965673865413887	0.11244380972561442	0.0056596968293471835	0.07868208296011756	0.020181433282356973	0.00374794461987551	0.0004013313865837015	0.012306720194677618	0.002822056867227311	0.005797650103402402	0.005416215426925418	0.010016198589920138	0.004324264009586062	0.0019703840739152432	0.0008649741656924109	0.0016852128075679758	14217.527382070475
