it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	tot_length
0	-9814.017777120842	-160.61981819198107	-9653.397958928861	307.5075534498739	0.0	1.1	1.1	0.3140389863776236	0.24299305451986636	0.27253713844240113	0.10641959781642751	0.1063752992860566	0.17841058569480656	0.821573118790735	0.10654864708159613	0.328839172469248	0.4370692279154095	0.15188758044512835	0.5755764055093626	0.20170045644478973	0.2212972092653264	0.1610827153675889	0.16779736634769515	0.26452183826948966	0.2265805898059907	0.3657857014281834	0.3002020275169993	0.6808873009900952	0.21389408028606935	0.10297647787883817	0.14004588075872607	0.26838873665408014	0.14081304018847585	0.7385759275105727	0.13805167895688855	0.1139593983392666	0.38623157797153657	0.47962867354332317	0.7008404427496444	14222.11943341286
100000	-1221.93439600832	-79.9086838088189	-1142.025712199501	307.5075534498739	0.0	19.893609373450584	17.135525684775853	0.18075239561948567	0.018250328620959974	0.038227233117989506	0.02267052768398422	0.0389209344550239	0.05153509404023246	0.06899564417127398	0.01816710874249574	0.026763458521798802	0.04603851907403998	0.015994158233067973	0.004464378520516639	0.0029369791313049137	0.0010667412156378595	0.0036471022896743784	0.001499696159340285	0.2527557923218683	0.04533357222773627	0.040849043511733074	0.008681676942313952	0.0688341820475817	0.0077069956840279865	0.0002241191581969585	0.0003109262014899788	0.006700061555138531	0.0054138400794548356	0.005329228713058628	0.011482756884752565	0.005516135660062849	0.0015516039835391149	0.0003411622262730282	0.0007222556016161674	14222.11943341286
200000	-1226.798222198705	-76.95758849006333	-1149.8406337086417	307.5075534498739	0.0	19.548658166487996	16.014367361895914	0.10315707509208022	0.08542557114055853	0.021781119641418187	0.06876994330239475	0.0006972264210432101	0.04165513913036406	0.06869909686891246	0.012515508103673705	0.037415172790293785	0.03838901272270392	0.020407235287216184	0.0030767414239412398	0.001749676590446966	0.000610504660395021	0.004604348043216379	0.0011675485323386625	0.08450932204450323	0.029968298428008647	0.037440421331004115	0.003533401421520071	0.032471431016421554	0.0011519840845752207	0.015149483531406707	0.0008121830412200603	0.0031897871562116494	0.0032029394244523874	0.0029783915236067104	0.013575359600604202	0.005519105082522031	0.0013786824298975802	0.001519343528654186	0.0007992560403984118	14222.11943341286
300000	-1226.3658514232065	-78.00971491323361	-1148.3561365099729	307.5075534498739	0.0	19.587313297808663	19.881820444555036	0.1064366902597976	0.1564691681307594	0.08826706377577444	0.032174903972683515	0.013871064616677468	0.04754976225751503	0.07437635219372996	0.020023477614275538	0.026407590412377304	0.03937888587746174	0.01818360473212324	0.0030367801611147303	0.0006636226008248774	0.0002839857314084482	0.002275350926883975	0.0011423811797687156	0.1610217121128763	0.07822816096431004	0.015944540049443297	0.006871746547527854	0.039467287713332425	0.00981597044380606	0.0022595137295467723	0.0011484626413668655	0.007696561946209186	0.002814191154638817	0.005462647913610592	0.011624972485579964	0.006533916448818943	0.0018160825495172703	0.0020362808668617583	0.004018878777839046	14222.11943341286
400000	-1226.0858140882751	-76.02244815206804	-1150.063365936207	307.5075534498739	0.0	18.32965159996295	17.05345584658755	0.035546531867847474	0.019063327501192443	0.07635642360115284	0.024099217338805462	0.019547997603971787	0.09580908601558441	0.12101851400658956	0.030729893735243707	0.025598096051445238	0.040980109027638344	0.016906701858399382	0.005115340734264821	0.0008169895916867105	0.002306339213753649	0.004036567945278943	0.0013974555703610428	0.016350550321339887	0.04571079022458864	0.04499750698684335	0.045341164561025486	0.017419623378345434	0.025269712855694664	0.0030079719595492308	0.002963770334997593	0.009955363827407604	0.0031344288677691797	0.004348038754298856	0.01234575310177047	0.009810429312535294	0.0007753709694611427	0.00037902319068670897	0.0028006974724831954	14222.11943341286
500000	-1232.6149367511082	-75.71940650200646	-1156.8955302491017	307.5075534498739	0.0	16.127682829236285	18.29792946107035	0.008473832365692536	0.09252659579204828	0.04445864489562336	0.02505539468323711	0.02431124954320498	0.02220136346000805	0.043147537768838215	0.014295903003407804	0.03054000718298276	0.04568690696716092	0.02101707372612383	0.005864713867805224	0.0010614068923826343	0.00015163209981716418	0.0017040128994111423	0.0015803682750168506	0.07284185377081256	0.030608321818768516	0.02813720220019247	0.06508010120571842	0.018463870099868742	0.0361700131166194	0.012154107614506885	0.00024901898394806505	0.013029426025240742	0.002785052225698028	0.007056494998151896	0.01296023869262011	0.0034684769232352034	0.002071517343136314	0.0002644366183675322	0.0015248292092375196	14222.11943341286
600000	-1228.8508569538833	-77.62199621052919	-1151.228860743354	307.5075534498739	0.0	19.799124693730825	19.231980754850458	0.14488395590336617	0.0946108096892203	0.15573020950028263	0.014405333146102858	0.02411998968966697	0.05205245932527154	0.06988145996463958	0.026659389203049343	0.031500345517696864	0.041382293009646166	0.014604004011664107	0.008884847774841522	0.0028621849971206936	0.001050433037860928	0.004101446284462577	0.0010327557045552312	0.05732555783334207	0.12017867459027586	0.006800507446366127	0.01076062407517539	0.009280447331376982	0.005404093155880876	0.008261658639492022	0.005941546540424955	0.012514833416649695	0.005837932525032384	0.010601394773615028	0.01202273697649701	0.0060312607259506885	0.0014111006034206637	9.732054376250378e-05	0.0015862915519570043	14222.11943341286
700000	-1224.333127821992	-76.34049904853441	-1147.9926287734577	307.5075534498739	0.0	18.560532308924945	18.056259625287513	0.025626523893754943	0.07546634062585805	0.13412090310560296	0.019474107865487856	0.02130141981464349	0.021934974430891967	0.1017454521485805	0.019238200812045927	0.01732995326704691	0.03834794918999821	0.023760045867891186	0.0034702360283109237	0.0003669775091333244	0.0011068774666375394	0.0031395940169175254	0.0009653327390344338	0.09478307643780977	0.013599272445379233	0.05530135979830981	0.004540364992693893	0.05592501928491211	0.002881127125875928	0.005515144206784168	0.0028537556701075362	0.01087739340656395	0.008374148780797156	0.00521768468822999	0.013854480865719365	0.00829417504980052	0.00040741408567056194	0.00010069410039407262	0.0011304931368817518	14222.11943341286
800000	-1236.2003104635621	-77.16902965877463	-1159.0312808047875	307.5075534498739	0.0	18.485892411267272	18.897065236397268	0.08661533367600166	0.04034649420742441	0.09790407628745286	0.00924959809572636	0.02777240707801144	0.012309752501643094	0.13179922224623145	0.016663322932488615	0.0410135685585399	0.057434597486683864	0.013987396979336797	0.003430183395535474	0.00235794402838785	0.001431039466267773	0.00409976497088083	0.0003369663619894689	0.1636691524569697	0.013247534672992313	0.022112867544505553	0.010299460605356024	0.010689804034764933	0.022456440173270475	0.03748055543654226	0.0021430419262245823	0.021640841840867057	0.004847804763474718	0.005209091225151548	0.01619123140810067	0.006778612945305857	0.00036027873545914954	0.00019123986264873158	0.0006948160043059755	14222.11943341286
900000	-1219.7592558979502	-75.04766230916417	-1144.711593588786	307.5075534498739	0.0	18.6983074520177	19.56278920619061	0.03162064316392196	0.07182699148958104	0.14722881381466774	0.003907124130162488	0.023180567962719008	0.02880734386322213	0.08273553834372809	0.024976768412537043	0.02989151170257782	0.04485666430209852	0.023572784237653643	0.0027092261144163452	0.0005432277717663604	0.0002905646916939486	0.0034855467118899506	0.0010057908237986405	0.07823320929178826	0.04360344166737783	0.004112750675245148	0.044180634491254075	0.018976004883904753	0.0005973352257265517	0.008170250757986653	0.0018760980728142473	0.014669531565893155	0.007749009430329234	0.005469853468072696	0.012930978335418439	0.007070168805248459	0.0008346876962970633	0.00033815495710391453	0.000813311370078021	14222.11943341286
