it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	tot_length
0	-8793.419772339505	-159.43997075017703	-8633.979801589328	311.5201670996599	0.0	1.1	1.1	0.5196828053521956	0.17033097769265698	0.11031998893815596	0.5842035199834364	0.11336157180948425	0.1498299804555775	0.13665169910606015	0.13337157434611457	0.24226976283459806	0.13170561780304316	0.24761427385043286	0.12565177883681103	0.6889773458479334	0.19923105075319045	0.09154534596117608	0.18894073406470036	0.5039318845942009	0.13246992133403038	0.30814420535545245	0.3102261975331537	0.1419246831356888	0.21891699221013197	0.2463606966650776	0.4524522252885066	0.3100254653339641	0.23806235956035907	0.12452961065209031	0.8403691314161985	0.30414508542576396	0.4935954933162324	0.1650141606421016	0.1452404140202102	14290.05780615383
100000	-1242.255454084622	-82.83988682454493	-1159.415567260077	311.5201670996599	0.0	15.510117194999966	17.09035891190441	0.1782409290189624	0.011253000748041309	0.07657669550950087	0.01156263425244406	0.0225423893454048	0.021471218371844555	0.09370074296532356	0.030507767960281786	0.03515903431319613	0.03737032240953616	0.012066034820911392	0.007166130055425525	0.001171471469980022	0.00039647701979879694	0.006707150027672357	0.002254753647095281	0.1368285478076826	0.1955529872147032	0.08118040587287823	0.04381359016702115	0.052231264584350685	0.014037161451542298	0.006153528763765386	0.0027124399365934877	0.005635276802205083	0.0011719533016250068	0.007561527273934546	0.009184606888617271	0.00808193994260586	0.001052031231131187	0.0010034990309164041	0.00017912473448763658	14290.05780615383
200000	-1237.0150608952372	-77.3186541847507	-1159.6964067104866	311.5201670996599	0.0	19.711517878932007	17.502385375109895	0.0643608992826206	0.017256599446799754	0.019007695991217977	0.020448948425363413	0.08780341569526275	0.04722778429182067	0.10107412973802372	0.029617873129499508	0.04726431535457205	0.04804981971837219	0.02016113481803629	0.005966520018706859	0.0030877673127823807	0.00039732754172142813	0.0026442440029785276	0.002523816294226007	0.24112393164973558	0.019358613503847103	0.003974833354390238	0.04983229569553295	0.02389348735103871	0.005675989561262018	0.012027686052748536	0.01280929037946082	0.008714420881291318	0.004131017234518354	0.006798643556823447	0.013351596740220382	0.00413345028606177	0.0004773317433685231	0.0011554997590136956	0.0015008321049933726	14290.05780615383
300000	-1236.4096421946756	-81.95042860515521	-1154.4592135895205	311.5201670996599	0.0	18.239418452933812	18.975620011497426	0.06571123417918522	0.04097986765056253	0.14766496712505967	0.0463533181941204	0.04961733580469781	0.09598894902627259	0.08497494545705428	0.03251099995358746	0.04196048475847793	0.03507655707113396	0.016893708824743035	0.006355054410876534	0.0025796903231882847	0.00040102863166120066	0.0018451579252650727	0.0018305617425594801	0.2988992627835717	0.07854173280973732	0.02128950370521425	0.038248890989878284	0.02383790199788655	0.0172191721477391	0.0052733377423608485	0.005093594263012502	0.005469714925551753	0.0037466424794984246	0.009512713480598104	0.011484014415348633	0.005747474263356218	4.398822166355785e-05	0.0008064166523396544	0.0013650348793229166	14290.05780615383
400000	-1247.8049079440407	-86.83497656121469	-1160.969931382826	311.5201670996599	0.0	10.973654479171172	18.494865386793798	0.16284440996647306	0.3248220434792868	0.024680119996023476	0.05146901836580106	0.01026292309563857	0.07687632626282913	0.103387627441377	0.04135531824736578	0.05470195825315592	0.03891503702153599	0.018671593474900015	0.007949752462491137	0.0006157116328915151	0.0005970407456169099	0.002515481354785606	0.0007458980590254107	0.09248210059111006	0.004921931927006931	0.08095604031343838	0.12114968754118542	0.03817442695740002	0.00022695067037412634	0.0018329808240263978	0.008193279822809147	0.0024758112567591106	0.0009862039248915292	0.0073634205744608425	0.013232380559253604	0.005794055054350897	0.0007984259637419905	0.001974489312347912	0.0010597029985579907	14290.05780615383
500000	-1233.065299082367	-80.38391499079236	-1152.6813840915745	311.5201670996599	0.0	18.98031682849549	19.433917061497493	0.19009769266359272	0.11454051447623671	0.25597733990151833	0.016624056886803833	0.021669418590003584	0.02793271993844375	0.051777875451944684	0.02606179774939156	0.03192409998662706	0.04157068142298282	0.020656784358330904	0.007749148342883824	0.0025751181161699677	0.0017733116188281967	0.0033183368504818077	0.0013357784322603706	0.16131424683173082	0.00808761547583449	0.023455387258546158	0.045606798596171436	0.011179668684337587	0.026138716855459897	0.003917285318890375	0.0049608773283828355	0.00448523988304155	0.005618294338313887	0.006673155278455258	0.010942587913193393	0.007464371398867733	0.0012938605941281004	0.0001822427990318565	0.0016635690689464414	14290.05780615383
600000	-1235.1250958556107	-78.97986248041909	-1156.1452333751915	311.5201670996599	0.0	16.982549104541032	19.630744788772528	0.1603765065329905	0.2260040687685764	0.017407702058093465	0.029715688845663977	0.055450959821784135	0.04986437227919278	0.08444770512989334	0.025673114468885525	0.03550327122789196	0.03927748764372528	0.01883000744799929	0.005742869019726304	0.0022545937748335914	0.0007700402919889195	0.002769472958070492	0.0010447091554101897	0.09442558720054745	0.05367904131948722	0.02655992157731282	0.01614357496528385	0.022788016577898584	0.010419187267170919	0.022516864105881308	0.004764124839765573	0.008540902806869826	0.004917660704699593	0.004218364506755449	0.009412634453931683	0.004115577480734123	0.00027999044857410444	0.00025738975776094954	0.0010741577050873737	14290.05780615383
700000	-1236.8426478873832	-76.63163966848762	-1160.2110082188956	311.5201670996599	0.0	16.27319904262915	18.92679497405789	0.15200108933756332	0.00385894913913242	0.2184549332828131	0.00883661770554352	0.04863177509037474	0.016088531907765744	0.07513336223226288	0.01521684480546226	0.02926531412009653	0.048930690207500356	0.022391247309679483	0.00921325133315122	0.0028937452095581626	0.0007302560491647198	0.0032277710300008863	0.0025864654807120986	0.026065444725413126	0.008025324764477898	0.03584686874734413	0.048649129054589825	0.007516229031061153	0.001895115909047232	0.00906201777682903	0.01068380391624023	0.011437418787381233	0.0017494438790375132	0.007606257094645484	0.010558212612590566	0.005202536247612344	0.0010430368683492074	0.00127341806870738	0.0015750577670965663	14290.05780615383
800000	-1234.8937339472363	-76.91269695018816	-1157.9810369970482	311.5201670996599	0.0	17.964305105374926	18.958388413484215	0.15725099395119144	0.006960197959174562	0.028229859334627135	0.016564240965163138	0.01577493186835618	0.09250359296364531	0.09615807846174627	0.0429300763223231	0.021457736583210648	0.04284391704397823	0.014564956250798362	0.005644751708723753	0.0016286268616479372	0.0006301782690594736	0.002240949577763175	0.0008045869389258126	0.08722890073273494	0.042458975259104796	0.027495268242271238	0.10683042613071023	0.004426705680672621	0.0012673669580737191	0.004553050069761161	0.01113647150558465	0.00275960467018766	0.005171962678602481	0.005627264617893834	0.010147028928999671	0.0030270061091198547	0.0004986519223255703	0.0005805665320484495	0.000183900227751408	14290.05780615383
900000	-1240.9155797709295	-85.8390455138286	-1155.076534257101	311.5201670996599	0.0	8.701971330962412	18.309035758985683	0.3014829712581981	0.2747192720265472	0.015695469960081504	0.039098742408622475	0.0009146869899419868	0.051489972512660465	0.07820506459510176	0.02795861081969199	0.041682081110857055	0.035077327230891256	0.019973804632020798	0.0045274049721193655	0.002409219179063557	0.0007424257504950189	0.0019270198075225463	0.0013366595166548322	0.052314668661397265	0.0670175816076638	0.008200317980473172	0.0073535447829321	0.01538042379910054	0.011295156727839456	0.014954550375451734	0.002345224685369324	0.006615795647960698	0.0064715734391573776	0.005290332788077964	0.01063125807956937	0.006743734230542105	0.001127121216927654	0.0010599468114239	0.00024820401141536716	14290.05780615383
1000000	-1234.5618759351346	-79.34469502832337	-1155.217180906811	311.5201670996599	0.0	17.399069103864164	18.464165272180278	0.07854942136072775	0.016261226862598493	0.13016608931419024	0.0009192998794109384	0.0186634063458578	0.0423751295666886	0.06842461793930973	0.03872128442970543	0.034777907744586126	0.04648659960115739	0.022668607317208538	0.008845124177440235	0.0027050397126383813	0.0008031794728101353	0.002032286450072759	0.0010103562933229057	0.23159389175108075	0.1339278630137543	0.01329683466474638	0.01924559897149361	0.03548610309535366	0.009358090963395845	0.0033815486906993895	0.005950456637798258	0.006739643740226482	0.0023145770345306127	0.005719799362155404	0.008518308840892129	0.004020033647192452	0.0027890597633961336	0.0012979678185382952	0.0008750303630317576	14290.05780615383
1100000	-1231.926720516127	-76.17733908665215	-1155.7493814294749	311.5201670996599	0.0	19.180355308238493	19.489713857848432	0.1536692620075913	0.017720978715528482	0.20672549090506465	0.0193410379525055	0.04238989393525167	0.029965489135980045	0.0680593264147452	0.02985258979295055	0.029356360559030036	0.04468579242871298	0.014893891006907824	0.008823725533202627	0.0020316136278764356	0.001459955890608985	0.00574290044978207	0.0012817325346843825	0.03615549272580667	0.06182098069501269	0.023379042215626786	0.015741105934704874	0.009685927015750311	0.04146681393938708	0.003313466473137352	0.010132598839297624	0.004692120429186858	0.00471382735037138	0.006251204962031638	0.010553153653992044	0.006463351746950891	0.0005559834580961437	0.0017919115942711423	0.00016624041491278957	14290.05780615383
1200000	-1242.031425325828	-76.96632425524605	-1165.065101070582	311.5201670996599	0.0	15.027697846752789	19.879677960692415	0.0842880447998564	0.023180292364536587	0.22160019652687946	0.0620923541262582	0.03652935160513486	0.09759698528495268	0.058139437045665585	0.027194661697588333	0.03588571458089043	0.046510948458661015	0.017566978637956043	0.006424583262261709	0.0028435742468746763	0.0010352241811123558	0.005182172187801499	0.003090553320609083	0.011871714483095607	0.0030411816917647982	0.011316088019432003	0.011990436670974823	0.02165195517553283	0.05076627248031231	0.009833361511340559	0.010693052403995075	0.016461686035112857	0.003067512638366384	0.00880195280416555	0.014312157092235675	0.005580061946205737	0.001060503783874341	0.0015176170411490056	0.0001939403111368096	14290.05780615383
1300000	-1239.8490443472565	-80.68579184982717	-1159.1632524974293	311.5201670996599	0.0	16.986106617476143	18.020670199637628	0.11714891655732997	0.022696658215808165	0.1152327387622938	0.02356046681611277	0.008868168949681373	0.04745863903288651	0.09021749680573589	0.023625730310901455	0.032451156619578335	0.041833540833602766	0.01786400623916612	0.005263377209187822	0.001481074066664882	0.00146291836686914	0.004450506774829975	0.000337104589225127	0.17891373959559778	0.05518468606338604	0.06954493992691183	0.023564852032461704	0.12789184846915055	0.0235332444312793	0.006308201226368315	0.00394722699357517	0.0038450090042439077	0.0028698436435424133	0.005785689495243233	0.015205111694344848	0.003548038479559492	0.0006741202306305539	0.0029403892886399395	0.0017557827702153648	14290.05780615383
1400000	-1245.1333991358467	-83.7241443734145	-1161.4092547624323	311.5201670996599	0.0	19.77734757272895	11.461937014015243	0.011707598603620134	0.14165370276580938	0.05799401515579878	0.04918639085779094	0.026973916980250676	0.035215324348416614	0.07355009070083596	0.031116566834296238	0.049312202352848084	0.042782974684290404	0.023320976985315836	0.008265149876856113	0.001905579719139324	0.001062768815606647	0.003127541885960873	0.0007904121129851241	0.15108723188251363	0.19481259983476668	0.04959997324958728	0.015241245495103634	0.03588797570743624	0.009660889674759759	0.006386888723927526	0.010502617540711679	0.008837906335406926	0.007914078319130085	0.006011330768292739	0.011613151958894199	0.006907718087639348	0.0029378386289203727	0.0013299001231637352	0.0010052050481785316	14290.05780615383
1500000	-1238.923718583529	-83.6773537853173	-1155.2463647982117	311.5201670996599	0.0	19.70865241966545	12.99427744388806	0.26416640007664816	0.06554227000614636	0.026215589690028407	0.009465615040949513	0.06069586734154034	0.05268316397905764	0.084215755289774	0.024776882873417214	0.03177631088483035	0.04064453481420365	0.013095312842642357	0.006645940700026523	0.0017845620955475624	0.0011866806039381027	0.0029779994863845115	0.0023542827814859693	0.04851086698148207	0.11836388146930452	0.06476352025507932	0.07855734490630013	0.001042516082008736	0.0014708491203120878	0.0044852349178007385	0.0014125307058611193	0.002986640170269224	0.004137554121407521	0.007388406910898065	0.01083142862473371	0.005215121174192376	0.0010675167706662833	0.001702771338191493	0.0008982550100627848	14290.05780615383
1600000	-1238.9430177924855	-78.30719810138676	-1160.6358196910987	311.5201670996599	0.0	19.928555184465626	19.777123438862557	0.08927807022911055	0.03038882860464029	0.09741458405157194	0.028701375197834278	0.0233999844666143	0.01677466068809246	0.10801417666931416	0.01781922532809329	0.055002255121442196	0.032032971153638644	0.020859603628956128	0.005088602784781737	0.0017677231851573269	0.0010167099075129211	0.0026635029386582747	0.002166892320884759	0.05175832016054704	0.15137719169037064	0.14090104992007213	0.0697472608813415	0.004454122516008057	0.03796188618774149	0.0019771816373661175	0.00856316151751868	0.00275837809770863	0.002113102926247889	0.006517347201391878	0.013849678014522283	0.005549102644198971	0.0005468742698004861	0.00011904150932045882	0.0007450997498261336	14290.05780615383
1700000	-1233.571253360157	-76.6128250502523	-1156.9584283099048	311.5201670996599	0.0	18.020207108094077	19.63103493094895	0.048156045352613	0.07931975431329201	0.07852634925847281	0.07742363541727212	0.004441597128363679	0.045039850722180134	0.0973506228953409	0.026070110194832297	0.03641427953000356	0.029721042931889	0.019480351354837264	0.0043354565525532	0.0019221509260150364	0.0013977402057835857	0.001218934023749606	0.0009140379981162702	0.18195240269623525	0.06183487811812805	0.0009786748044777014	0.0034330569470820355	0.012092633042251914	0.011563686232697578	0.017253795908520202	0.004815790864730107	0.006443831922944319	0.005595224559203236	0.006158338339074369	0.011828268731076294	0.008798227224113385	0.00030043599292720296	0.001128225787643852	0.0008392615491043451	14290.05780615383
1800000	-1239.9885350987706	-81.1379878983761	-1158.8505472003944	311.5201670996599	0.0	14.020130239124382	19.399313304921495	0.04275768723684463	0.022203370108781664	0.34418168134943633	0.017148789527007657	0.030614637415245043	0.04122178283137177	0.05628912630710523	0.01703992842470403	0.03319052293693042	0.044802499749767494	0.02174795237879198	0.0049756798853311515	0.0028063256825409597	0.000981106603093335	0.0026900595372577464	0.0015359742602196983	0.2321510604845322	0.005672844235520724	0.02475600974482365	0.02347438773644259	0.019002745497039425	0.0016267928633917107	0.001253374562762155	0.004535298854858393	0.009489677574541942	0.0023334992976413874	0.008989287729744689	0.015522661213501744	0.007553379156322027	0.0006870952846181448	0.004456152085634426	0.000569513516497144	14290.05780615383
1900000	-1242.090709957717	-77.11660235769526	-1164.9741076000219	311.5201670996599	0.0	17.68918936458837	19.839045068385065	0.009295783984740555	0.008148782860012525	0.08256366407396364	0.04834736906738837	0.006578374439532606	0.12045833806944885	0.06157611192555477	0.015258193084811883	0.03304297813787047	0.03887309196517371	0.021295898891805914	0.007754588628912372	0.002704493491731659	0.0024225328858539247	0.006076592924694265	0.0011140254139139349	0.1639509379132721	0.10797334605454692	0.010659808224033288	0.027431961618086004	0.08297089513391025	0.0025861164004354906	0.009314790940901775	0.011735589224188003	0.010902087165567611	0.006750049706630541	0.006196592570969422	0.011929865267968236	0.00860948109225761	0.00035703790649275785	0.00027726113811608807	0.0018815017003807766	14290.05780615383
2000000	-1226.6091065965295	-71.01530658568267	-1155.5938000108467	311.5201670996599	0.0	19.38037115772105	19.853788754619274	0.05251073310766653	0.009820825031518451	0.05943494252656048	0.0017148441085675864	0.006316847014175601	0.06499335212869868	0.05188045776003362	0.040032526088436625	0.03790271479758172	0.03587886411983652	0.02037828329950203	0.00577465614734683	0.0010083064705052988	0.0011274423149529762	0.0020586937212372517	0.000939326974036976	0.07935061261090293	0.0048454109581659195	0.0038893431111781786	0.05125552776907588	0.014665153135739994	0.005581464415084856	0.0006329486574123743	0.0033242450293341393	0.00511170391384401	0.006843417918583894	0.007206757754947775	0.012947761112609429	0.007345521052523817	0.0005915267340842761	0.00259292240386302	0.0012226808695202506	14290.05780615383
2100000	-1240.5822075031774	-78.05695874670646	-1162.525248756471	311.5201670996599	0.0	19.624268220999443	19.48120077001533	0.0969519307954392	0.05933564114046279	0.07492717438585059	0.054803854894010046	0.04716056168054645	0.02994448246923917	0.11359224377812858	0.04196241206186777	0.029437034179360687	0.038238407648337636	0.014085670547529116	0.005209810093824774	0.00255403705126784	0.0014469335369200662	0.0020767414736686967	0.0010247459341820577	0.1331882152003111	0.02328930371033757	0.08652147647649239	0.07688444018729623	0.007106870262865434	0.004165853713655312	0.04078154805524525	0.012409411634882309	0.007022247041287617	0.002797498565098246	0.006914385951096374	0.015882941344180234	0.006444578782568276	0.0006328680233672888	0.000981447308839454	0.0006633319359139372	14290.05780615383
2200000	-1227.4289028327948	-74.13859634254787	-1153.290306490247	311.5201670996599	0.0	18.364661092933467	19.02314241920635	0.06450635940730663	0.07309683028068446	0.06138953436345431	0.015418993889564197	0.006748578245145197	0.023261537945124155	0.08731999067765649	0.021861364220430474	0.03258687286248477	0.035246708179773587	0.015675804759060004	0.007942215189354463	0.0021300808245408344	0.0024525693223659264	0.002724050306069144	0.0013385670687795347	0.13835039068181487	0.020338236490499064	0.052332071372970364	0.008605800683305555	0.024862604655888382	0.0012716229611142796	0.004331951606005047	0.006742878114344756	0.0041854276662780234	0.0024719993729552248	0.005992278192851902	0.0075170956543789275	0.006497294867814875	0.0014270585376505802	0.000763461860263892	0.00040144446639331144	14290.05780615383
2300000	-1237.8222034042974	-77.7298233107227	-1160.0923800935748	311.5201670996599	0.0	18.416111292942396	19.990499823252573	0.010962589865847338	0.2242888304182262	0.10866906646926502	0.010786905217388006	0.008931574972310433	0.03779441302565614	0.06880877990955837	0.043384769739441505	0.042803513479545564	0.04562772209516795	0.01899105877881477	0.009763740245540881	0.0010596356573327958	0.0005129673248375131	0.004521527370491515	0.0025968199091026007	0.09857241006471054	0.12117755086268014	0.04113522442518372	0.0009675426061942871	0.021438282221054504	0.007143322958708157	0.009931408980066928	0.004739807869151621	0.009263379419780119	0.0046818904638395295	0.0054459679553927175	0.013009955558464095	0.00515311077670027	0.0002650322340641976	0.0020256318527498655	0.0020420882279339764	14290.05780615383
