it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	tot_length
0	-9144.144262280519	-160.1991733747919	-8983.945088905726	307.0975744511804	0.0	1.1	1.1	0.3370630124067252	0.38693716551313007	0.24382762294503602	0.25458390266028275	0.31844359749407364	0.44109994304958616	0.33564596398889046	0.24429629787525958	0.33715130296779217	0.12896597457543704	0.36347375493527156	0.17260632347416205	0.11217682445618674	0.14670521434858633	0.22697336518788042	0.2827258403946915	0.16926322316315667	0.22867636602331304	0.25371813891397427	0.4722129386727865	0.19824935632545715	0.20815155058550994	0.19651466024348774	0.10716520012415526	0.4459938867340415	0.25019531405946716	0.6791749058729313	0.5518285215234131	0.15913361231647405	0.41703918843452037	0.12295552298771548	0.4893911131563914	14300.896545436122
100000	-1220.8321518691182	-80.48610345657431	-1140.346048412544	307.0975744511804	0.0	15.9569338391926	19.783860774048097	0.06146976609791823	0.030025497276209415	0.08814419949694338	0.0024998163537833674	0.0351089421555956	0.08605306711598017	0.052574096941546834	0.02334725285247575	0.03754443006124008	0.045620042761471684	0.016047845834262553	0.006905385296219576	0.0012513145559820541	0.00022247196717248012	0.0019393832755636182	0.002076435571617784	0.296491545218693	0.11907904688505445	0.0053823065105660225	0.006283920241114353	0.007659752984182962	0.011592987657488214	0.006878084195519379	0.003616095859691482	0.00391289834068992	0.0010563468405487926	0.005681886552306523	0.0144488411948387	0.006514102585268308	0.0010620441873573471	0.0003871757023334274	0.001448743569711503	14300.896545436122
200000	-1225.8502884780457	-81.33405790082365	-1144.5162305772221	307.0975744511804	0.0	17.64698822021654	19.05411914531125	0.088240132010928	0.11749940893912941	0.15559462045262773	0.07613322494108334	0.035068501936147925	0.09237759461073426	0.054244528309623744	0.0214817795944037	0.028920759763275763	0.042924355166434815	0.014699719590099697	0.006051901566969514	0.0004765877021442661	0.0022518404535248246	0.0020933983558270334	0.0012448081035643498	0.12285333295291527	0.07141891553050339	0.07497401739895937	0.048456664090808024	0.0005707323275063768	0.01678358829397953	0.002103687971307197	0.011689847828326745	0.010592976980895367	0.0015107068165400898	0.004656127671428722	0.015023537363999369	0.004145289228701663	0.001665385228925546	0.0010251141042188295	0.0017103104364776375	14300.896545436122
300000	-1224.5765257525727	-81.83459230349082	-1142.741933449082	307.0975744511804	0.0	19.632273911844123	19.25388562656775	0.06614057899712616	0.042561570143550276	0.23309026791188237	0.010059947104954624	0.012032948264736582	0.12103397303354536	0.09538624040150685	0.04115510140540401	0.030247231087637917	0.044009839689018795	0.017259853768387866	0.006430147173159065	0.0009731456146333517	0.0001695769853659937	0.007376757835881121	0.002446829943860061	0.19022481445829825	0.020213072512325368	0.0671951836574308	0.00036693573488446273	0.06472350231416767	0.02124657384492213	0.006355353934877677	0.0024432515680640732	0.008816873149513803	0.0027509322299957917	0.0031044624850735305	0.018464911474679265	0.0031327456585747986	0.0008789777343432886	0.00016875915122247458	0.0002678314678319417	14300.896545436122
400000	-1221.7672245009899	-77.06380413535963	-1144.7034203656303	307.0975744511804	0.0	15.835148222249956	17.854969259313922	0.052951373104764284	0.027069719416126833	0.07359861234013339	0.024794531626997438	0.014493453407728623	0.055274464396023286	0.09815914250184721	0.014420865362356991	0.03915680420747953	0.042839921010331725	0.01901725501331776	0.00572195064393916	0.0024822118825242744	0.00026990987795081847	0.0038406883134316223	0.0002805248316844057	0.05830339361814821	0.06791372040746786	0.014720433264069988	0.0103280567955233	0.06373227408031457	0.002814715353311984	0.004880505066541651	0.004159926761808075	0.010181560160814012	0.0019917070092951112	0.004722667408504615	0.020988058613294537	0.0038046909732298725	0.0016489143525861352	0.00039746800824889077	0.0015253081849663384	14300.896545436122
500000	-1227.8361203846837	-78.79643716788509	-1149.0396832167985	307.0975744511804	0.0	17.894267259639854	19.37380270821664	0.024992803532171794	0.10374487647880344	0.043473994404573	0.02238863428404192	0.0329087119812046	0.04441147615824643	0.085795637289082	0.03140800724245232	0.03032132240941327	0.04918603929189209	0.014258678658499023	0.00976541179195718	0.002814652937827461	0.0003701657037481001	0.0035121944000149285	0.0015095448937679735	0.058756903613841296	0.14266948209378089	0.0248053517434866	0.09004724114197997	0.11247940519131	0.004256189251534594	0.00019554343980110215	0.0020637470770355614	0.007879623864521495	0.0051969270220187085	0.006113715295033066	0.01730941661787316	0.004783452052621205	0.0016744145457454013	0.0007173059624925301	0.0025787573593203726	14300.896545436122
600000	-1219.502933972638	-72.37956848694886	-1147.1233654856892	307.0975744511804	0.0	19.296025241089282	18.702168217040445	0.009975964617555835	0.012929133596096038	0.03342943398632397	0.04188725123682626	0.010070842498065658	0.08557151602844494	0.053158188393439686	0.03531654838853273	0.028981683106988593	0.04783688979250133	0.018401023950442855	0.007060020936445685	0.0023931266965677434	0.003481824923900351	0.00190048206641928	0.001732831628585232	0.06786545657538857	0.01628323342570683	0.0001512674480991211	0.031217225485587537	0.007932568496721335	0.028295179650423195	0.0010672859001606267	0.004071187833111995	0.013796205736183209	0.004872631323639152	0.004105619027719944	0.014606026942336118	0.005283373147788321	0.0005225835664323052	0.00010465717218359195	0.0019987839319329168	14300.896545436122
700000	-1230.815001596614	-81.95375429582155	-1148.8612473007925	307.0975744511804	0.0	18.00577853354514	18.678468352828535	0.09973745028571793	0.12425324555030348	0.028242138000604298	0.01661697670277839	0.04083086916521813	0.11788232968525347	0.06458579275270616	0.030097826740388692	0.04476648179273439	0.04679406779382259	0.01722823792008899	0.009573347380617376	0.00493177019892832	0.0009980047167974962	0.005344095601428049	0.0017298037417522393	0.1794040284114306	0.1332159002019215	0.10042895228665491	0.023175788830130804	0.0009969966326801771	0.0018234540563176914	0.009566286593715905	0.009374010703508469	0.016034496473924027	0.005557447151890396	0.005338470453890725	0.019156246499578318	0.003806684887755769	0.002004361429878224	0.0001445338145520807	0.0023754578132040827	14300.896545436122
800000	-1219.4269789692794	-74.91354427282793	-1144.5134346964514	307.0975744511804	0.0	18.62368821827735	18.283463770471077	0.023680142440450413	0.09192269260996705	0.011530382278808371	0.014039095013921194	0.007509585871926069	0.06276837778725133	0.045679952256212956	0.029924077544753142	0.03257636034653475	0.0480198801006814	0.01836592888281426	0.008958929483858253	0.0015663963816706923	0.000923081042585406	0.003635250858730547	0.001527729704500544	0.1082342885893738	0.011394622058537371	0.06265774162134669	0.02852797693629666	0.030137512394424696	0.040695054784013335	0.0034580360926348935	0.009857335976581443	0.004684611390823265	0.0021425073000106024	0.0058170121593551375	0.016079771985559745	0.004648573899248715	0.0016955573290357657	2.5248922119988046e-05	0.0016473252749792929	14300.896545436122
900000	-1219.215653298277	-83.02273550161432	-1136.1929177966626	307.0975744511804	0.0	18.471754679004277	19.926087608364945	0.17351577397370926	0.05692536457121066	0.09218449739771631	0.0006127900568952219	0.004607353240119354	0.16493677391220243	0.0550647358159224	0.03305965158832702	0.039466976282264254	0.04714388590380051	0.015163588120384824	0.005864354541209783	0.001077178344261495	0.0008546244009774434	0.002526603983200838	0.001731844406422341	0.11066213200055335	0.15081951141385624	0.16157119332517	0.015380698712704899	0.004304130614330362	0.025514023893278	0.0024515854068787456	0.002942293149389332	0.012247911655244132	0.0022448960391020407	0.005008403795152718	0.018835303924369242	0.0031597864869791527	0.0007430218055549999	0.00031799309472589496	0.001086206142245447	14300.896545436122
